"","sample","tissue","endometriosis","severity","p208765_s_at","p232004_at","HNRNPR"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.022113,7.809914,9.4160135
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.453659,7.506626,9.9801425
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.520717,5.484078,8.5023975
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.399856,5.944781,8.1723185
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.852123,5.783221,8.317672
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.538821,5.658785,8.098803
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.921265,5.448487,8.184876
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.814123,6.300343,8.557233
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.473294,5.559088,8.516191
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.588019,5.313269,7.950644
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.896293,5.559088,8.2276905
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.577244,6.649546,8.613395
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.840832,6.599384,8.720108
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.090518,6.230627,8.6605725
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.269266,6.842387,9.0558265
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.572429,6.012063,8.292246
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.993752,6.051728,8.02274
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.591008,6.168653,8.3798305
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.830034,5.596466,8.21325
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.866988,5.141869,6.0044285
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.490691,6.830076,7.6603835
