"","sample","tissue","endometriosis","severity","p208309_s_at","p210017_at","MALT1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.836918,8.322182,7.07955
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.350661,7.788681,7.569671
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.140351,7.212067,6.676209
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.541945,6.496262,5.5191035
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.678582,6.549755,6.1141685
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.891636,6.32941,5.610523
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.533491,6.493855,5.013673
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.00906,6.956463,5.9827615
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.954982,7.235046,6.595014
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.805773,6.654416,5.7300945
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.619168,6.279208,5.449188
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.826115,7.267876,6.5469955
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.972493,6.493855,5.233174
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.221317,7.25863,6.2399735
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.094371,7.550285,6.322328
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.524364,6.891728,5.708046
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.066622,6.843326,5.454974
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.267666,6.275105,5.2713855
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.340698,7.231162,5.78593
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.144707,5.324593,4.23465
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.170809,6.209125,4.689967
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.832807,4.269699,3.551253
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.932517,7.391391,6.161954
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.484317,5.376926,4.4306215
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,3.046482,2.8124755
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.138704,4.660666,3.899685
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.578469,3.139695,2.859082
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.440258,5.349182,4.39472
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.578469,4.070832,3.3246505
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,4.389068,3.4837685
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,3.045595,2.812032
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.989133,4.440127,3.71463
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,4.533655,3.556062
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.896068,4.336486,3.616277
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.046699,8.087558,7.0671285
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.852666,4.571764,3.712215
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.678592,3.271905,2.9752485
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.075528,7.623881,6.8497045
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,3.465825,3.022147
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,4.529311,3.55389
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.138704,6.187838,4.663271
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.650669,6.02501,5.3378395
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.578469,3.722018,3.1502435
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.541945,6.71848,5.6302125
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.578469,3.582265,3.080367
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,5.383811,3.98114
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.578469,2.630709,2.604589
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.928648,6.059533,4.9940905
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.578469,5.550797,4.064633
