"","sample","tissue","endometriosis","severity","p212048_s_at","p238760_at","YARS"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.960486,4.740175,6.8503305
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.831145,6.570296,7.7007205
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.999772,6.912786,7.456279
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.749819,6.082145,7.415982
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.738573,6.878417,7.808495
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.970082,6.882953,7.9265175
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.922879,8.387269,8.155074
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.898063,6.516827,7.707445
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.00377,5.855249,7.4295095
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.206148,6.447595,7.8268715
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.763001,5.632196,7.1975985
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.591824,5.5571,7.074462
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.140071,6.674288,7.4071795
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.512507,5.86065,7.6865785
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.217786,5.964776,7.591281
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.694785,5.776607,7.235696
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.862061,6.244018,7.5530395
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.661349,6.977973,8.319661
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.103849,5.575274,7.3395615
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.846317,5.99907,7.4226935
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.586316,5.617544,7.60193
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.643878,6.199816,7.921847
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.257127,6.823452,8.5402895
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.086867,6.461972,8.2744195
