"","sample","tissue","endometriosis","severity","p201504_s_at","p201515_s_at","p201513_at","TSN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54702,9.742979,6.619416,7.63647166666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.462585,9.898853,5.911191,8.09087633333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.700365,9.949381,7.356217,8.00198766666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.40125,9.729576,6.922641,8.01782233333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.998759,10.026812,6.301911,8.10916066666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.533016,10.101198,7.087404,8.24053933333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.481171,9.443845,6.325142,7.083386
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.523526,10.193918,7.042638,8.25336066666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.699518,9.996712,6.886784,8.194338
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.91458,9.603998,7.33026,8.282946
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.568482,10.013359,6.852451,8.47809733333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.531578,9.920923,7.034147,8.162216
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.481171,8.502212,6.497051,6.82681133333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.194945,10.547928,7.150836,8.297903
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.750226,10.078009,7.030692,7.95297566666667
