"","sample","tissue","endometriosis","severity","p222761_at","p233255_s_at","BIVM"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.194067,5.252909,6.723488
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.442589,4.793059,6.117824
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.853631,5.084435,5.969033
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.416541,5.084435,6.250488
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.05416,5.875733,6.9649465
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.315635,6.050569,6.683102
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.82657,4.72279,5.27468
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.827546,5.377954,6.60275
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.786782,5.451949,6.6193655
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.160812,5.47588,6.318346
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.030168,6.137089,6.5836285
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.310586,6.33934,6.824963
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.53548,3.948464,5.241972
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.928102,6.147511,7.0378065
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.188872,5.315675,6.7522735
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.380591,5.084435,6.232513
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.939542,5.369259,6.1544005
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.884692,5.613047,6.2488695
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.749002,6.250982,6.499992
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.262179,4.732888,4.9975335
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.365263,5.326883,5.846073
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.345655,5.034667,5.190161
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.52241,3.520333,4.0213715
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.262179,5.026488,5.1443335
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.361882,2.955028,4.158455
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.262179,4.192368,4.7272735
