"","sample","tissue","endometriosis","severity","p205555_s_at","p210319_x_at","MSX2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.892967,9.223295,7.558131
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.881713,9.481394,8.6815535
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.471147,10.728574,9.5998605
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.904617,7.168373,6.036495
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.535684,10.521654,9.028669
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.601325,4.591343,4.596334
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.949467,6.183952,4.5667095
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.080824,10.411387,8.7461055
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.046968,9.706947,8.3769575
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.735573,6.580842,5.1582075
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.189576,10.666407,9.4279915
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.157099,11.197902,9.6775005
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.601325,6.890618,5.7459715
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.71471,11.085515,9.4001125
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.320959,10.01448,8.1677195
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.784907,7.040945,5.912926
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.800263,6.265268,5.0327655
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.078082,7.772452,6.425267
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.429677,5.131978,4.2808275
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.60352,7.773811,6.6886655
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.656991,11.387501,10.522246
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.135207,6.290952,5.7130795
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.47966,8.699869,7.0897645
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.608936,8.233112,7.421024
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.420382,7.988569,7.2044755
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.169359,10.82798,9.9986695
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.65581,11.36391,11.00986
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.044936,12.614076,11.829506
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.148796,9.323236,7.736016
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.203479,12.542913,11.873196
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.842294,12.383056,12.112675
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.591493,12.664,11.6277465
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.915749,11.929046,11.4223975
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.890406,11.36014,10.625273
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.897369,9.839718,8.8685435
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.774667,7.727091,7.250879
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.806379,12.323155,11.564767
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.346378,9.078502,8.21244
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.609333,11.886726,11.2480295
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.480468,8.923665,7.7020665
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.616667,12.623586,11.6201265
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.53473,9.859568,9.197149
