"","sample","tissue","endometriosis","severity","p212197_x_at","p214771_x_at","p225896_at","p231255_at","MPRIP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.011451,9.060755,5.571063,6.99905,7.66057975
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.642161,9.366888,4.897256,6.591537,7.6244605
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.770185,9.488744,4.81784,7.298607,7.843844
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.664929,9.734338,6.740479,6.445833,8.14639475
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.897555,9.935809,5.571032,6.254995,7.91484775
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.281436,10.292964,6.136389,7.439916,8.53767625
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.378659,10.287393,6.089791,7.008419,8.4410655
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.316502,10.200498,4.81784,6.254995,7.89745875
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.748603,9.619082,4.81784,6.254995,7.61013
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.098846,10.264115,5.728184,7.192014,8.32078975
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.080636,10.23973,6.15668,6.446707,8.23093825
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.42156,9.142913,4.940998,7.03665,7.63553025
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.267369,9.907835,5.831051,7.739685,8.436485
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.660149,10.665837,7.201274,6.254995,8.69556375
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.072311,10.031457,7.660621,6.254995,8.504846
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.371879,10.446627,6.481614,6.260263,8.39009575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.221144,10.305086,5.751731,6.650818,8.23219475
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.437728,9.582163,6.854226,6.254995,8.032278
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.940943,9.942489,6.048977,6.886069,8.2046195
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.212712,10.484318,5.439128,6.601941,8.18452475
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.914007,10.064807,5.480814,6.3063,7.941482
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.718274,10.971434,4.833706,6.913186,8.35915
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.44739,10.413909,5.571032,6.254995,8.1718315
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.568676,10.708362,4.678861,6.6334,8.14732475
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.878485,11.172844,5.737223,7.078612,8.716791
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.679051,9.93193,6.241304,7.315975,8.292065
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.914079,10.001818,5.655109,7.547438,8.279611
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.888021,11.245958,6.386991,6.254995,8.69399125
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.908334,10.200942,6.02845,6.254995,8.09818025
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.747553,10.922681,5.571032,6.794867,8.50903325
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.275031,9.59768,5.571032,7.066957,7.877675
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.35827,10.674484,6.273633,6.254995,8.3903455
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.344621,10.572706,4.547996,7.350216,8.20388475
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.002552,10.363228,4.403273,7.162962,7.98300375
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.735432,9.805159,6.711412,5.839923,8.0229815
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.71034,10.996116,5.672041,7.174387,8.638221
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.251219,10.387604,4.963917,6.48294,8.02142
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.174536,10.336188,6.249814,6.254995,8.25388325
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.391277,10.437498,5.571032,6.33177,8.18289425
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.935027,9.806465,4.945001,7.185135,7.967907
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.858728,10.844686,7.293405,6.216278,8.80327425
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.786485,11.159704,5.68939,6.644517,8.570024
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.262822,10.353216,4.65704,7.124058,8.099284
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.283945,9.583211,5.169363,6.254995,7.5728785
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.608575,10.728224,4.81784,6.980183,8.2837055
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.845309,10.003537,5.761094,6.254995,7.96623375
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.763652,9.98413,4.500437,7.387078,7.90882425
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.396948,10.39502,6.096721,6.899209,8.4469745
