"","sample","tissue","endometriosis","severity","p209338_at","p207627_s_at","p227637_at","TFCP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.06942,6.650696,9.238029,7.652715
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.158324,7.197455,8.482373,7.94605066666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.061592,6.044898,8.783343,6.96327766666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.56854,6.800317,9.038275,7.469044
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.123785,7.469717,9.267571,7.953691
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.374484,6.616518,8.716581,7.235861
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.857506,5.279132,8.221941,6.45285966666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.820719,7.197887,8.675734,7.89811333333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.47162,7.435194,8.231075,7.71262966666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.727468,6.731908,8.284539,7.24797166666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.015806,7.686596,9.556313,8.08623833333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.010083,7.149696,9.286956,7.81557833333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.339206,6.326082,8.179959,6.61508233333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.920804,7.280603,8.790359,7.663922
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.535991,7.206172,9.192852,7.97833833333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.484742,6.791567,9.080028,7.45211233333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.916649,6.439937,8.912613,7.42306633333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.417206,6.32748,8.36709,7.03725866666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.697192,6.237594,8.546723,7.160503
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.634587,4.579249,6.687472,5.63376933333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.502014,5.512121,7.916764,6.643633
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.581421,4.717337,7.490041,5.92959966666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.256567,2.832036,7.384881,5.157828
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.462525,4.299376,6.671633,5.47784466666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.094676,4.143813,6.272779,5.17042266666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.60991,2.832036,6.221156,4.88770066666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.132567,3.936014,6.250781,5.43978733333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.624271,5.442079,8.272982,6.77977733333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.100403,3.67857,7.291114,5.35669566666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.850072,3.363905,5.801649,5.00520866666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.283934,2.902234,7.214877,5.467015
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.253054,4.04524,7.866817,6.055037
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.762862,4.299376,5.88694,4.98305933333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.700669,3.259672,6.392063,5.45080133333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.309902,6.456268,8.504512,7.42356066666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.157838,4.823537,7.340487,5.773954
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.741076,2.796196,7.55404,5.36377066666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.933694,5.545009,8.134611,6.87110466666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.791766,4.304511,7.209189,5.76848866666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.57224,4.200359,6.654304,5.47563433333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.253469,3.427404,8.046964,5.57594566666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.357926,4.642475,6.33493,5.44511033333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.07115,4.299376,5.920097,4.763541
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.637974,4.218412,7.944533,5.93363966666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.094676,4.276552,7.294507,5.555245
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.884147,3.3095,8.24812,5.81392233333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.008497,2.832036,6.524014,5.454849
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.156313,2.832036,6.08186,4.35673633333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.32174,3.235372,5.920097,4.82573633333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.160203,3.634971,5.920097,5.23842366666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.329801,3.65407,6.239407,5.074426
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.758835,3.205866,7.793921,5.91954066666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.225771,4.299376,5.679904,5.40168366666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.953751,5.314682,8.295114,6.52118233333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.38951,5.16916,8.24812,6.60226333333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.661365,5.126227,8.414822,6.734138
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.720635,4.823537,8.117789,6.553987
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.117053,6.236375,8.204164,7.185864
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.383672,6.617861,8.154467,7.38533333333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.709405,5.608249,7.927514,6.74838933333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.252597,6.079913,7.977763,7.10342433333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.780828,6.37795,8.41071,7.18982933333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.523864,5.518248,8.223258,6.75512333333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.695869,5.571972,8.069456,6.779099
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.187786,6.271804,8.575855,7.34514833333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.573933,5.019544,8.24812,6.61386566666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.826023,4.952118,8.252286,6.676809
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.103493,6.245454,9.085778,7.47824166666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.666138,6.628115,9.079619,7.79129066666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.822938,7.120647,9.140796,8.028127
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.489561,7.062837,8.608955,7.720451
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.794216,7.070313,8.661083,7.84187066666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.694125,7.061276,9.163005,7.972802
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.527062,7.06581,8.94242,7.84509733333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.012931,7.290184,8.752191,8.01843533333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.767607,6.924533,8.559719,7.75061966666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.1367,6.69949,9.20625,7.68081333333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.446766,6.735248,8.310793,7.49760233333333
