"","sample","tissue","endometriosis","severity","p240304_s_at","p219580_s_at","p222904_s_at","TMC5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.991626,3.599393,2.747301,3.77944
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.434665,3.775531,2.266213,3.49213633333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.086276,4.840087,4.22927,5.385211
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.369033,9.259965,8.134774,9.587924
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.613027,3.846925,2.630494,3.03014866666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.817819,8.293245,7.478752,8.863272
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.819652,9.997841,7.861321,9.892938
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.557734,4.718161,3.109301,4.79506533333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.576361,3.61735,2.719114,3.304275
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.320089,8.260224,7.176264,8.58552566666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.865587,4.045525,2.884999,3.932037
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.584414,6.569869,4.930237,6.36150666666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.245542,10.173188,7.674468,10.3643993333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.738479,4.922198,3.255596,4.63875766666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.215935,3.952364,3.44086,4.203053
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.080276,9.967459,9.057779,10.0351713333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.622837,10.349085,8.412342,9.79475466666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.628222,9.307776,8.137727,9.69124166666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.675825,8.947255,7.847591,9.15689033333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.032299,9.160022,6.63898,8.61043366666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.939711,3.77321,3.329548,3.680823
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.507616,7.638408,5.955796,7.36727333333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.067826,9.278467,6.632659,8.992984
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.625391,6.50026,4.816954,5.98086833333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.990704,7.06726,3.561447,6.20647033333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.641574,4.194363,3.329548,3.388495
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.373659,3.564575,2.835101,3.59111166666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.194264,3.828279,2.613089,3.54521066666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.200262,3.564575,2.613089,4.12597533333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.901225,3.38707,2.835101,3.041132
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.109952,3.726011,2.839171,3.22504466666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.264313,5.362946,2.836449,4.821236
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.613186,3.693961,2.835101,3.047416
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.76061,3.811038,2.836449,3.802699
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.563129,3.564575,2.835101,3.320935
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.662356,6.096133,5.369688,6.70939233333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.945595,3.772131,2.793339,3.83702166666667
