"","sample","tissue","endometriosis","severity","p228386_s_at","p228385_at","DDX59"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.298931,6.55915,6.4290405
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.505046,5.580839,6.5429425
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.132473,6.093639,6.113056
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.021736,6.574307,7.2980215
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.483415,6.216756,6.3500855
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.871825,6.245581,7.058703
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.988437,6.216756,6.1025965
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.596433,6.21413,6.9052815
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224867,7.268833,6.74685
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.546541,6.380655,6.463598
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.638114,5.682353,6.1602335
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.425191,7.017328,7.2212595
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.115944,5.886328,6.501136
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.398737,4.89758,5.6481585
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.153879,6.216756,6.6853175
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.700726,6.212462,6.456594
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.32036,6.308871,6.8146155
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.594596,6.216756,6.905676
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.380061,6.437465,6.908763
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.277522,6.006711,5.6421165
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.709569,5.066194,4.8878815
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.567859,4.418356,4.4931075
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.493271,4.128034,4.3106525
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.553915,4.792965,4.67344
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.755149,4.53312,4.6441345
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.553915,5.047836,4.8008755
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.50445,3.672454,5.088452
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.118019,5.923215,6.020617
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.96693,5.783696,5.375313
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.452407,3.672454,4.0624305
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.709569,3.672454,4.1910115
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.709569,4.763282,4.7364255
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.709569,3.262512,3.9860405
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.553915,3.048068,3.8009915
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.24284,7.384803,7.3138215
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.926941,5.363683,5.145312
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.452407,5.018732,4.7355695
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.601748,5.53149,5.566619
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.553915,5.998377,5.276146
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.515922,3.392754,3.954338
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.454191,4.046401,4.250296
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.553915,3.428431,3.991173
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.016496,5.069866,5.043181
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.709569,5.309449,5.009509
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.709569,4.67939,4.6944795
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.342005,5.459652,4.9008285
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.088128,3.672454,4.380291
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.709569,3.020381,3.864975
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.304298,5.338706,5.321502
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.983728,3.494721,4.2392245
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.553915,4.048571,4.301243
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.06729,4.377973,5.2226315
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.74165,4.358491,4.5500705
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.291137,5.032398,5.1617675
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.3149,6.230122,5.772511
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.739251,7.344972,7.0421115
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.561852,6.220727,5.8912895
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.555173,6.607175,6.581174
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.579373,7.448208,7.0137905
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.065254,5.62705,5.846152
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.766495,5.292972,5.5297335
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.688099,6.338583,6.513341
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.725443,6.595297,6.66037
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.671805,6.739497,6.705651
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.492653,7.006906,7.2497795
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.085284,6.046476,5.56588
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.655646,6.110714,5.88318
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.870391,7.224528,7.0474595
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.719606,7.732472,7.726039
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.899641,6.896228,6.8979345
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.10917,7.579488,7.844329
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.785741,7.670009,7.727875
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.88484,7.275978,7.580409
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.053076,6.441498,6.747287
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.666839,7.226419,7.446629
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.888591,7.834936,7.8617635
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.516264,7.408685,7.4624745
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.460811,7.468441,7.464626
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.670333,7.195844,7.4330885
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.366345,6.638357,6.502351
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.00405,7.376525,7.6902875
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.623027,7.017896,7.3204615
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.362017,6.742255,6.552136
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.915581,7.072371,6.993976
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.390457,6.050041,6.220249
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.006114,5.649713,5.3279135
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.553915,4.457527,4.505721
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.106679,5.275695,5.191187
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.181234,6.412774,6.297004
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.675649,4.597844,4.6367465
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.876393,5.159551,5.517972
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.553915,4.46595,4.5099325
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.709569,4.211928,4.4607485
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.435078,6.463417,6.4492475
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.988894,5.42611,5.207502
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.219756,6.238391,6.2290735
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.749978,6.216756,5.983367
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.298541,5.25644,5.2774905
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.723383,4.409548,4.5664655
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.553915,3.875745,4.21483
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.271032,5.967935,5.6194835
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.117732,6.746205,6.4319685
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.176487,5.982234,5.5793605
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.709569,4.607135,4.658352
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.709569,6.111896,5.4107325
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.959735,5.599298,5.2795165
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.709569,5.592313,5.150941
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.845016,4.780136,4.812576
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.277056,6.216756,5.746906
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.379811,6.147864,6.2638375
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.249959,5.361257,5.305608
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.155958,6.152881,6.1544195
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.748055,6.683232,6.7156435
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.652018,6.828224,6.740121
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.700916,6.422855,6.5618855
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.509471,6.216756,6.3631135
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.200073,6.218385,6.209229
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.959648,5.819832,6.38974
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.330117,4.996972,5.6635445
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.776037,4.707968,4.7420025
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.22599,8.052951,8.1394705
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.14816,7.638896,7.893528
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.055523,6.811584,6.9335535
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.551353,7.119524,7.3354385
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.997458,7.618759,7.8081085
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.537847,7.501978,7.5199125
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.44832,7.224464,7.336392
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.793516,7.45496,7.624238
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.757823,7.124707,7.441265
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.957555,7.107664,7.0326095
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.025135,7.331022,7.1780785
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.627627,7.297504,7.4625655
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.21921,6.972355,6.5957825
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.397408,7.052258,7.224833
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.939583,7.452119,7.695851
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.146162,7.1875,7.166831
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.612706,7.12811,6.870408
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.525886,7.553702,7.539794
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.398292,7.382715,7.3905035
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.848267,7.546719,7.697493
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.32485,7.352335,7.3385925
