"","sample","tissue","endometriosis","severity","p209750_at","p225768_at","NR1D2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.448574,9.543382,8.995978
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.601267,9.175147,8.888207
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.766982,9.01696,9.391971
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.40742,9.704833,9.5561265
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.833246,9.855569,9.3444075
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.516992,9.33299,9.424991
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.289612,8.619948,8.95478
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.315091,9.815274,9.0651825
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.018306,9.847639,8.9329725
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.653163,8.107676,8.3804195
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.895541,9.67644,9.2859905
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.649298,10.823682,11.23649
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.321955,8.892183,9.107069
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.637217,8.662625,9.149921
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.754055,8.631058,8.6925565
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.913504,9.201606,10.057555
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.130854,10.008884,10.569869
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.797632,8.69527,8.746451
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.235794,8.551899,8.8938465
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.021291,8.359986,6.6906385
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.474671,8.088276,5.7814735
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.895738,7.638116,6.266927
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.949049,7.887889,6.418469
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.456146,6.838965,5.1475555
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.107716,6.731368,5.419542
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.06991,7.865201,6.9675555
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.041908,6.910277,5.9760925
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.577033,8.610492,6.0937625
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.473239,7.836516,5.6548775
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.456146,7.781892,5.619019
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.380664,7.765717,6.0731905
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.878138,8.906258,6.392198
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.317442,6.519564,5.918503
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.456146,5.948199,4.7021725
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.633135,9.251013,6.942074
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.387852,7.719958,7.053905
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.779238,8.852876,7.816057
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.253131,9.100591,6.676861
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.420181,7.618591,6.519386
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.474566,8.504041,6.9893035
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.671433,9.212298,7.4418655
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.405823,7.802139,5.603981
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.234411,7.723864,5.9791375
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.674405,9.008432,7.3414185
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.717484,7.68185,5.699667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.515744,8.769155,7.1424495
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.456146,6.507097,4.9816215
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.196242,8.730356,6.963299
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.80744,7.00667,5.407055
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.145176,7.800172,5.972674
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.848548,7.392855,5.6207015
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.786361,8.165069,5.975715
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.85962,9.316166,7.087893
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.09954,8.343918,6.721729
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.456146,8.147809,5.8019775
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.276018,9.130405,7.7032115
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.828022,8.573044,6.700533
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.078251,8.459134,6.2686925
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.468128,9.775083,7.1216055
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.726152,8.189839,5.9579955
