"","sample","tissue","endometriosis","severity","p218238_at","p218239_s_at","GTPBP4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.532966,9.090719,8.8118425
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.996687,8.705728,8.8512075
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.250858,8.406946,8.328902
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.658969,8.342349,8.500659
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.641592,9.240812,8.941202
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.402149,8.667671,8.53491
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.651389,8.021066,7.8362275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.623013,8.394456,8.5087345
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.390184,8.530142,8.460163
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.073831,8.698177,8.386004
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.175164,9.18484,8.680002
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.501317,9.042689,8.772003
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.734827,8.009938,7.8723825
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.682295,8.920437,8.801366
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.632948,9.217818,8.925383
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.138565,8.465123,8.301844
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.186175,8.799445,8.49281
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.671096,9.313866,8.992481
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.668764,9.509854,9.089309
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.855379,7.170526,6.5129525
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.0764,7.850212,7.463306
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.874649,7.655228,6.7649385
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.640716,8.204276,6.922496
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.295188,7.483715,6.8894515
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.977264,6.836776,5.90702
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.737147,6.257308,4.9972275
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.016577,6.975307,5.995942
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.966918,7.979584,7.473251
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.280099,6.568057,5.424078
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.762149,6.887244,5.8246965
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.182812,7.249182,6.215997
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.320867,7.708677,7.014772
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.468523,5.543477,5.006
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.561652,6.836776,6.199214
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.12171,8.839896,8.480803
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.748286,6.975307,6.3617965
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.149594,6.90879,6.029192
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.664911,7.971174,7.8180425
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.224361,7.598746,6.9115535
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.090138,7.013624,5.551881
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.349509,8.518413,7.433961
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.748231,6.975307,6.361769
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.586227,6.364524,4.9753755
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.036725,8.132173,7.584449
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.135247,6.857705,5.996476
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.986579,7.801611,7.394095
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.512209,6.948046,6.2301275
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.135837,7.531419,6.333628
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.549837,7.173251,6.361544
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.372137,6.99102,5.6815785
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.295785,7.179796,6.2377905
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.701298,7.021279,6.3612885
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.767958,7.036783,6.4023705
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.41169,7.312659,6.8621745
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.937237,7.467437,7.202337
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.793208,8.505175,8.1491915
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.289269,7.504069,6.896669
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.694466,8.64548,8.169973
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.302684,9.284562,8.793623
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.86457,7.827219,7.3458945
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.656245,7.806415,7.23133
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.682976,8.28734,7.985158
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.808881,8.76603,8.2874555
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.595164,8.800177,8.1976705
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.141513,8.997977,8.569745
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.404522,7.879567,7.6420445
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.731625,8.432418,8.0820215
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.685977,9.850669,9.268323
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.443998,9.575561,9.0097795
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.754202,9.843657,9.2989295
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.587996,9.458592,9.023294
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.082207,9.563752,8.8229795
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.573286,9.472555,9.0229205
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.873151,9.595851,9.234501
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.692656,9.713879,9.2032675
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.300662,9.663247,8.9819545
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.737513,9.631805,9.184659
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.736318,9.686568,9.211443
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.692413,9.799015,9.245714
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.595082,9.209707,8.4023945
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.782364,9.599149,9.1907565
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.778228,9.965868,9.372048
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.938679,7.680021,6.80935
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.80764,8.430674,8.119157
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.929915,8.777536,8.3537255
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.078254,8.071019,7.5746365
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.633359,6.975307,6.304333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.968454,7.66242,6.815437
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.509424,8.573099,8.0412615
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.918426,7.44712,6.682773
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.84986,7.753215,7.3015375
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.298904,7.307874,5.303389
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.097112,7.385349,6.7412305
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.872999,8.705396,8.2891975
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.822195,7.499874,6.6610345
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.554083,8.636202,8.0951425
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.099462,8.330163,7.7148125
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.417761,7.164433,6.791097
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.66396,7.240407,5.9521835
