"","sample","tissue","endometriosis","severity","p241741_at","p225324_at","CRLS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.249357,9.123697,6.686527
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.352451,8.607286,5.9798685
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.784555,7.782428,5.7834915
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.432159,8.421941,6.92705
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.399424,9.05043,6.724927
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.399424,8.988576,6.694
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.456611,8.077288,6.2669495
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.456611,7.883577,6.170094
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.200013,8.408557,6.304285
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.368323,8.916312,6.6423175
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.411957,9.237292,6.8246245
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.439753,9.13518,6.7874665
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.956317,7.883731,6.420024
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.456611,9.693297,7.074954
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.141737,9.059287,7.100512
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.743457,9.381466,7.0624615
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.173317,8.857367,7.515342
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.206406,8.223956,6.715181
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.784582,8.871478,7.32803
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.585384,8.994515,6.7899495
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.368323,8.151397,6.25986
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.349404,8.178844,6.264124
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.368323,6.880604,5.6244635
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.767697,8.287958,6.0278275
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.316898,6.878308,5.597603
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.164684,6.51277,5.338727
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.84559,7.446097,5.1458435
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.933974,8.610228,6.272101
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.241299,8.353187,5.797243
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.135447,7.693386,5.9144165
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.767697,7.798626,5.7831615
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.368323,8.363603,6.365963
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.767697,6.412991,5.090344
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.399424,6.460343,5.4298835
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.456611,9.373405,6.915008
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.368323,8.213661,6.290992
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.399424,7.107179,5.7533015
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.213865,8.395745,6.304805
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.767697,7.844826,5.8062615
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.767697,7.791376,5.7795365
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.798719,8.461719,6.630219
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.119177,7.839779,5.979478
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.767697,7.184678,5.4761875
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.767697,8.576668,6.1721825
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.401617,7.736933,5.569275
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.767697,8.855253,6.311475
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.299109,8.125309,5.212209
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.366874,7.42833,5.897602
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.767697,7.093045,5.430371
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.399424,7.20918,5.804302
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.810768,7.230837,5.5208025
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.578732,8.069522,5.824127
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.767697,8.649657,6.208677
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.399424,9.092349,6.7458865
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.776751,8.713777,6.245264
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.113497,8.474534,6.7940155
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.399424,8.213936,6.30668
