"","sample","tissue","endometriosis","severity","p1556097_at","p217080_s_at","HOMER2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.906132,8.92666,8.916396
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.958813,8.753163,7.855988
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.498456,5.421674,4.460065
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.088745,9.292111,9.190428
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.849917,7.728977,7.289447
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.254699,8.257021,7.75586
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.316746,8.08354,7.200143
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.720136,6.486782,5.603459
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.263743,7.832659,7.548201
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.703432,5.919876,5.311654
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.99576,8.071806,7.533783
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.381548,6.764044,6.572796
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.300799,9.133747,8.717273
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.821644,7.020124,6.420884
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.018251,8.743375,8.380813
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.135596,9.839564,9.48758
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.975992,10.021517,9.4987545
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.271622,8.343061,8.3073415
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.232286,6.466371,6.3493285
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.149302,7.462925,6.8061135
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.16404,9.65842,8.91123
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.458338,6.664553,5.5614455
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.805323,6.170709,5.988016
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.176094,7.753358,6.964726
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.228688,5.88048,5.554584
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.070198,7.630987,7.8505925
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.54633,7.412505,5.9794175
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.055022,9.024497,8.5397595
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.06681,10.147016,9.606913
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.036678,7.367898,6.702288
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.541457,6.584438,6.0629475
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.749906,7.384236,7.067071
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.151544,5.923539,5.0375415
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.627869,6.983076,6.3054725
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.742881,9.085554,9.4142175
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.748517,4.859488,4.3040025
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.022969,5.871011,5.94699
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.300959,11.704893,10.502926
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.290178,6.821573,6.0558755
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.229752,9.413031,8.3213915
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.889738,8.619401,7.7545695
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.446498,6.691873,5.5691855
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.684038,8.73103,8.207534
