"","sample","tissue","endometriosis","severity","p1569053_at","p203410_at","AP3M2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.986657,5.0909,5.0387785
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,4.954038,4.1921625
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.278863,4.811291,4.545077
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.454103,4.82808,4.6410915
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.12521,5.2629,5.194055
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.234544,4.811291,4.5229175
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.807909,4.100715,4.454312
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.865761,5.233875,4.549818
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.503824,5.698061,5.1009425
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.376897,4.747721,4.562309
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.11352,5.440765,4.7771425
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.652128,4.892954,4.772541
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,4.673192,4.0517395
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.253669,6.065777,5.659723
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.849398,6.193655,6.0215265
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.086215,5.138724,5.1124695
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.546591,5.279562,5.4130765
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.965796,4.801219,4.8835075
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.101744,4.639909,4.8708265
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.998201,4.142269,3.570235
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.769436,4.101251,3.9353435
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.807216,3.761876,3.784546
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,4.142269,3.786278
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.528757,3.906286,3.7175215
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.430287,3.65701,3.5436485
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,4.649866,4.0400765
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.528757,3.420403,3.47458
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.645978,4.691165,4.1685715
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.790986,4.253549,3.5222675
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.785841,4.057092,3.9214665
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.528757,4.142269,3.835513
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.430287,4.201744,3.8160155
