"","sample","tissue","endometriosis","severity","p205829_at","p228595_at","HSD17B1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,7.310094,5.4767885
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,6.108969,4.876226
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,5.249546,4.4465145
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,7.048544,5.3460135
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.69603,7.470195,5.0831125
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.548071,7.357718,5.9528945
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.91739,6.75176,5.334575
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,6.734329,5.188906
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,5.571287,4.607385
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,6.85265,5.2480665
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.96642,6.308726,4.637573
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.544021,6.498281,5.021151
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,7.03629,5.3398865
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.660278,7.524442,5.59236
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.35799,5.950229,4.6541095
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,6.699793,5.171638
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.51788,6.685734,5.601807
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.143553,7.441509,5.292531
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.676212,6.651013,5.6636125
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.117113,10.267627,8.19237
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.264753,10.090112,8.1774325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.707519,10.361423,9.034471
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.726776,9.933559,8.3301675
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.770128,11.041781,9.9059545
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.349969,10.231021,8.290495
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.962036,10.783415,9.3727255
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.483543,11.129609,9.806576
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.828693,9.838334,8.3335135
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.237393,9.157128,7.6972605
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.941538,10.9014,9.421469
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.644613,10.607411,9.126012
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.223754,9.826691,7.5252225
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.933173,11.650819,10.291996
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.870092,11.198238,10.034165
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.397845,8.921777,7.659811
