"","sample","tissue","endometriosis","severity","p209544_at","p209545_s_at","RIPK2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.786372,6.956885,6.3716285
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.020465,7.304618,6.1625415
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.658304,7.744544,6.701424
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.499395,7.813182,6.6562885
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.263307,6.622538,5.9429225
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.604025,8.322639,7.463332
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.53988,6.974969,6.2574245
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.602262,8.163449,6.8828555
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.015568,6.755774,5.885671
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.148104,8.139676,7.14389
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.624835,7.234106,6.4294705
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.875426,7.984055,6.9297405
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.015743,7.417188,6.7164655
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.53988,6.736977,6.1384285
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.081544,6.593666,5.837605
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.260385,7.750153,7.005269
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.53988,6.92697,6.233425
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.139473,8.82431,7.9818915
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.10014,6.932615,6.5163775
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.238393,6.886255,6.062324
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.982071,6.16213,5.5721005
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.487941,6.191732,5.8398365
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.995216,6.821018,6.908117
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.571236,6.078636,5.324936
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.663619,5.007127,4.335373
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.69631,3.86021,4.27826
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.015568,3.80757,4.411569
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.447841,7.298517,6.373179
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.076387,3.86021,4.4682985
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.615337,3.867957,3.741647
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.015568,3.993495,4.5045315
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.267949,6.806629,6.037289
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.985231,2.836221,3.910726
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.615337,4.280795,3.948066
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.462924,7.904182,7.183553
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.487941,6.886255,6.187098
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.817318,3.970815,3.8940665
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.487941,7.516014,6.5019775
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.566225,4.957234,4.2617295
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.832067,4.081088,4.4565775
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.070424,5.059541,5.0649825
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.302893,6.664313,5.983603
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.496157,4.009701,4.252929
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.388765,7.609474,6.9991195
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.032317,5.842239,5.437278
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.510864,4.332288,4.421576
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.996704,3.835611,3.9161575
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.447531,6.736993,6.592262
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.412519,6.516272,5.9643955
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.487975,3.594132,4.0410535
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.635669,4.386096,4.0108825
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.53988,6.549203,6.0445415
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.686763,5.215358,4.9510605
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.032889,6.512507,5.772698
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.522112,5.112095,4.8171035
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.53988,7.801932,6.670906
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.9222,5.376437,5.1493185
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.633123,7.954177,6.79365
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.688558,7.760816,6.724687
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.526451,7.594222,6.5603365
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.001286,6.479519,5.2404025
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.772078,7.720484,6.746281
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.53988,6.894712,6.217296
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.726482,7.865834,7.296158
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.53988,7.177072,6.358476
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.013231,5.504218,4.2587245
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.962172,6.367449,5.6648105
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.667732,8.340076,7.503904
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.977157,7.817897,7.397527
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.954227,7.823893,7.38906
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.499898,8.940003,8.2199505
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.101425,8.635531,8.368478
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.876826,7.496391,6.6866085
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.247304,7.821106,7.034205
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.051741,7.819843,6.935792
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.91482,8.775582,8.345201
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.449116,8.184238,7.816677
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.310102,8.130881,7.7204915
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.265253,8.717215,7.991234
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.744128,7.98267,7.363399
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.146139,7.992236,7.5691875
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.308336,8.510653,7.9094945
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.386499,6.886255,6.136377
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.737662,8.322715,7.0301885
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.459637,6.984771,6.222204
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.602085,6.50074,6.0514125
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.665508,3.929739,3.7976235
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.492045,7.157453,6.324749
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.736978,7.180742,5.95886
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.417875,6.48818,5.4530275
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.53988,7.949371,6.7446255
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.133067,3.819792,4.4764295
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.624818,6.570894,6.097856
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.487941,7.209614,6.3487775
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.53988,5.47018,5.50503
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.405479,7.626938,6.5162085
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.716287,6.871553,6.29392
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.556209,6.514646,6.0354275
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.040018,3.850684,3.945351
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.040604,3.594132,4.317368
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.094879,6.430868,5.7628735
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.735839,7.674076,6.7049575
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.526781,7.32064,6.4237105
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.647997,4.421351,4.534674
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.487941,5.87617,5.6820555
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.015568,6.66,5.837784
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.523609,6.934684,6.2291465
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.53988,5.623864,5.581872
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.015568,6.886255,5.9509115
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.036899,8.218791,7.127845
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.348223,6.532539,5.940381
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.697584,6.228872,5.463228
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.492983,6.589362,5.5411725
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.285798,8.176801,7.7312995
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.355835,7.686796,7.0213155
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.218568,7.475723,6.8471455
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.487941,7.316765,6.402353
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.341629,7.024988,6.6833085
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.53988,6.719799,6.1298395
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.53988,7.145417,6.3426485
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.709848,6.886255,6.7980515
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.80114,6.886255,6.3436975
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.534635,6.977356,6.2559955
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.922388,8.43069,8.176539
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.573157,7.47769,7.0254235
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.126838,9.257469,8.6921535
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.877022,8.906654,8.391838
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.51557,7.350159,6.9328645
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.660051,8.030594,7.3453225
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.487941,6.754725,6.121333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.900551,8.909045,8.404798
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.391096,7.895562,7.143329
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.639032,7.379256,6.509144
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.325238,7.544151,6.9346945
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.291626,7.378751,6.8351885
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.127831,8.575842,7.8518365
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.461051,7.723733,7.592392
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.247115,8.004841,7.125978
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.837467,8.390212,7.6138395
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.939763,8.00702,7.4733915
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.576989,7.754201,7.165595
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.39984,7.612498,7.006169
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.357632,9.369358,8.363495
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.548005,7.542931,6.545468
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.986478,8.130284,7.558381
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.051043,7.689024,6.8700335
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.361405,8.112166,7.2367855
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.023189,7.976772,7.4999805
