"","sample","tissue","endometriosis","severity","p201456_s_at","p201458_s_at","p209974_s_at","BUB3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.462215,10.130666,11.153211,9.915364
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.403528,10.354468,11.341312,10.366436
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.763568,8.704242,10.731024,9.39961133333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.418989,9.459237,10.710342,9.19618933333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.965839,10.113288,11.209318,10.0961483333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.633727,10.060884,10.810229,9.50161333333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.760667,8.611322,10.127269,8.49975266666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.126415,9.77278,11.188979,9.696058
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.621253,10.074498,11.024079,9.90661
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.346345,9.714829,10.826559,9.62924433333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.734525,10.032171,10.972227,9.91297433333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.251063,9.929668,10.844254,9.674995
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.987715,9.317165,11.117308,9.47406266666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.882776,10.411179,11.584063,10.2926726666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.377605,10.251027,11.584753,10.4044616666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.412777,9.833591,10.470556,9.572308
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.043655,9.725082,10.903282,9.55733966666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.149849,9.752722,10.070386,9.324319
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.578044,9.89308,10.718132,9.729752
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.345378,8.392943,9.604371,8.11423066666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.704729,8.934119,10.31261,8.650486
