"","sample","tissue","endometriosis","severity","p1487_at","p203193_at","ESRRA"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507427,4.260252,5.3838395
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.254662,4.98272,5.618691
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.28631,4.98272,5.134515
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.660771,5.07612,5.8684455
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.450546,5.182812,5.816679
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.700402,5.401294,6.050848
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.736939,5.782033,6.259486
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.345915,4.98272,5.6643175
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.750745,4.722884,5.2368145
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.623917,5.050567,5.837242
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.401254,4.805378,5.603316
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.173826,4.662672,5.418249
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.283053,5.048572,5.6658125
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.43839,4.652224,5.545307
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.302295,4.652224,5.4772595
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.7997,4.98272,5.89121
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.963286,4.98272,5.973003
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.400901,4.71413,6.0575155
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.329569,4.652224,5.9908965
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.614933,5.68168,7.1483065
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.098818,5.499975,6.7993965
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.367445,6.200515,7.78398
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.888298,5.648886,7.268592
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.358944,6.431219,7.8950815
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.241444,5.884442,7.062943
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.386341,5.992072,7.6892065
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.345059,7.001572,8.1733155
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.039659,5.121907,6.580783
