"","sample","tissue","endometriosis","severity","p213839_at","p221042_s_at","p225757_s_at","p225759_x_at","CLMN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.854368,4.844714,4.666695,3.682818,5.51214875
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.010275,5.415255,4.503143,2.684138,5.15320275
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.555519,3.545443,3.857408,2.500244,3.8646535
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.104387,3.996203,3.857408,2.771993,4.43249775
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.755702,5.427657,4.075345,3.678628,5.484333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177005,4.418788,3.661936,2.684138,4.48546675
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.39552,3.545443,3.573498,2.500244,4.00367625
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.806248,5.048917,3.857408,2.968912,4.67037125
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.306184,5.202708,4.501145,2.961219,5.242814
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.275867,3.884094,2.657208,2.500244,3.82935325
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.241792,3.979642,3.661936,2.684138,4.391877
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.918454,3.545443,3.021274,2.786481,4.067913
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.31299,3.821326,3.857408,2.500244,4.122992
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.972674,4.427713,3.971581,2.684138,4.5140265
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.046346,6.051216,5.541316,3.607475,6.06158825
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.273196,3.632467,3.661936,2.420427,4.2470065
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.290842,4.208578,3.820938,2.290639,4.40274925
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.411148,3.924322,3.541997,2.684138,4.39040125
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.31299,3.183751,2.89848,2.688407,3.770907
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.471958,5.442906,4.461015,3.090228,4.61652675
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.615981,7.219293,5.17182,4.298584,6.0764195
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.535097,4.027712,3.780303,2.539594,3.4706765
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.918132,3.824199,3.971706,2.737862,3.86297475
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.748388,4.643603,3.661936,2.684138,4.18451625
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.90722,4.020623,3.852021,2.684138,3.8660005
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.924507,4.025019,3.857408,3.304552,4.2778715
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.757939,3.687258,3.750061,3.577143,3.94310025
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.547183,5.902702,5.655139,4.130675,5.55892475
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.31299,3.597045,3.971706,2.684138,4.14146975
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.441693,4.844714,3.857408,4.40029,4.13602625
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.18163,6.273717,5.17692,5.412348,5.51115375
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.730491,3.98268,3.971706,3.152884,4.20944025
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.831302,4.250738,3.971706,3.565461,4.15480175
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.815945,3.545443,3.857408,2.781758,3.7501385
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.058882,6.429917,5.755626,4.925656,6.54252025
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.865709,3.633003,3.661936,2.684138,3.7111965
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.941017,4.86665,4.464296,3.807572,4.76988375
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.486604,6.592545,5.046541,4.86732,5.9982525
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.280892,5.593265,3.750061,3.880691,4.87622725
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.491378,4.754664,3.971706,3.122509,4.33506425
