"","sample","tissue","endometriosis","severity","p1568736_s_at","p235527_at","DLGAP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.050221,5.477898,4.2640595
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.107713,3.773317,3.440515
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.336523,2.632,2.4842615
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.646177,7.736643,6.69141
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.430127,5.020393,3.72526
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.522315,8.557975,8.040145
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.746279,6.535743,5.641011
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.243146,2.315614,2.27938
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.987254,4.370391,3.6788225
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.128765,8.06483,7.0967975
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.243146,3.065877,2.6545115
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.643251,4.233179,3.438215
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.337482,8.858046,8.597764
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.743135,4.174681,3.458908
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.336523,4.668178,3.5023505
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.338739,9.111895,8.225317
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.514189,9.172575,8.343382
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.142012,7.365606,6.753809
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.20135,7.308785,6.2550675
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.796122,5.339133,6.5676275
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.106811,5.020393,4.563602
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.172412,7.299783,8.2360975
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.323872,5.409454,4.366663
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.069793,4.845389,5.457591
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.281295,4.674892,5.4780935
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.050221,4.430196,3.7402085
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.397534,2.236067,2.3168005
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.437621,3.606728,3.0221745
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.760359,5.020393,5.890376
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.246979,2.236067,2.241523
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.743135,2.978663,2.860899
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.558546,3.611631,3.5850885
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.987254,3.258795,3.1230245
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.987254,2.236067,2.6116605
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.811517,8.201084,8.0063005
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.639353,7.324122,8.4817375
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.580995,3.116683,2.848839
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.46265,6.931705,7.6971775
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.743135,3.297507,3.020321
