"","sample","tissue","endometriosis","severity","p48808_at","p202533_s_at","p202532_s_at","p202534_x_at","DHFR"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.566178,4.779509,7.878697,9.385317,7.65242525
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.906069,5.99718,7.928655,10.336406,8.5420775
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.563133,2.936701,6.490383,8.424987,6.353801
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.428867,3.501776,5.923797,7.223095,6.01938375
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.426708,6.394997,9.435541,11.257889,9.37878375
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.954649,4.270048,6.807527,8.776363,6.95214675
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.344336,3.75584,7.007807,7.751443,6.2148565
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.104766,4.947213,6.912635,9.634974,7.649897
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.09995,5.544128,8.288502,10.016207,8.23719675
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.435486,5.078208,6.254312,9.317921,7.27148175
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.918278,4.779509,7.902806,9.408703,7.752324
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.028037,4.880904,7.796693,9.560057,7.81642275
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.28733,3.501776,4.894318,7.323354,5.5016945
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.015101,6.143222,8.741393,10.674465,8.89354525
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.636894,6.486704,8.815961,11.006774,8.98658325
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.322605,2.682788,6.217524,7.624284,5.71180025
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.678295,3.93113,6.800121,7.111481,5.88025675
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.58638,3.75584,6.423795,8.540657,6.576668
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.708703,3.402137,6.32076,8.054337,6.12148425
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.236929,4.29731,5.836058,7.060547,5.607711
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.535969,5.508109,8.375942,9.690495,8.02762875
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.089563,7.469215,6.85943,8.413888,7.458024
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.752569,2.946095,4.894318,7.231822,4.956201
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.321362,5.035848,6.225177,7.299164,5.97038775
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.32948,5.182712,4.783179,6.379032,5.16860075
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.612365,6.87131,4.823161,6.542496,5.712333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.099854,4.779509,5.125318,6.580044,5.39618125
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.606569,6.357904,8.103883,9.58494,8.163324
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.863226,4.635304,5.655343,5.727485,4.9703395
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.208594,6.069299,5.703035,7.572651,6.38839475
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.128146,4.527062,6.225177,7.465248,6.08640825
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.267433,6.814568,7.108438,9.030001,7.55511
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.296583,6.209504,5.907779,5.638811,5.51316925
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.923664,5.842217,6.745289,7.752292,6.5658655
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.865934,4.936328,7.823989,8.935065,7.390329
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.495847,4.951831,6.269359,7.495615,6.303163
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.860878,5.589424,5.828581,7.199511,6.1195985
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.41376,4.54839,6.225177,8.280283,6.3669025
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.567788,6.166258,6.225177,8.680498,7.15993025
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.039457,3.75584,6.225177,4.524729,4.63630075
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.898076,3.91961,6.203287,8.222318,6.31082275
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.254668,5.225459,5.684876,5.893804,5.26470175
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.051663,3.501776,5.675073,6.083223,4.82793375
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.495832,4.042648,6.225177,7.584988,6.08716125
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.660357,4.683378,6.15728,6.050289,5.387826
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.888714,6.434156,7.396377,10.009007,8.1820635
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.778518,4.598524,6.31624,7.202668,5.9739875
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.311718,4.831045,6.147428,7.087712,5.59447575
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.782001,3.494348,4.894318,4.741046,4.22792825
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.813044,6.890079,5.690137,8.340346,6.6834015
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.36291,6.210295,6.649679,8.50539,7.1820685
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.349652,4.519061,4.894318,6.021002,4.94600825
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.331884,6.104292,5.385027,7.075278,5.97412025
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.890864,5.601859,7.347124,8.635213,7.118765
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.436688,4.890741,6.883437,7.972902,6.795942
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.468331,5.871703,8.059277,10.389468,8.44719475
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.337787,5.704462,6.347442,8.400534,6.94755625
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.945827,4.642615,6.535106,8.101288,6.556209
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.672618,5.848776,7.374175,8.866582,7.44053775
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.066619,4.638,6.715899,8.463713,6.72105775
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.369975,4.286847,6.225177,7.828087,6.1775215
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.27141,4.926861,6.225177,8.255308,6.669689
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.570373,5.53688,6.925269,8.768588,7.2002775
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.319121,3.774344,6.798723,8.485962,6.5945375
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.898773,6.011497,8.555336,9.963677,8.35732075
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.608454,4.551029,6.355048,7.613916,6.28211175
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.022782,6.913432,7.79629,9.397366,8.0324675
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.790012,7.760098,10.421726,11.598156,10.142498
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.585395,6.196711,9.843939,11.127336,9.43834525
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.940018,6.007102,9.936958,11.065829,9.23747675
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.555818,4.785631,8.065547,9.236218,7.6608035
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.109139,3.540507,7.597643,8.930608,7.04447425
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.17215,6.532102,9.948599,10.951163,9.4010035
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.628717,6.436055,9.384393,11.069147,9.379578
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.007724,7.145039,10.417673,11.701941,10.06809425
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.839126,3.752785,7.55495,8.935221,7.0205205
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.143127,6.443274,9.871708,10.922256,9.34509125
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.13987,3.80342,7.269199,8.732606,6.98627375
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.970629,6.846216,9.204466,10.516926,9.13455925
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.898473,3.37122,7.870306,8.985581,7.031395
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.730162,6.913727,10.027966,11.238732,9.72764675
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.669186,7.361778,10.301192,11.464984,9.949285
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.284382,5.249916,7.105129,8.401565,7.010248
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.671851,3.637747,6.225177,7.786544,6.08032975
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.031275,5.776419,7.956296,9.981711,8.18642525
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.890162,5.307751,6.290953,8.166436,6.6638255
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.444376,5.503067,5.831738,8.05511,6.45857275
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.886813,5.072922,6.225177,7.521366,6.1765695
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.58558,7.35815,8.779028,10.66092,9.0959195
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.686044,6.195758,6.947401,8.978636,7.45195975
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.869824,3.54957,6.02233,7.21879,5.6651285
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.870187,5.741981,5.503192,6.942467,5.76445675
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.098899,4.259389,4.894318,5.720183,4.74319725
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.705976,2.887192,6.007564,6.844336,5.111267
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.618746,4.367199,5.981797,6.180105,5.28696175
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.624412,5.852342,7.101754,8.80752,7.346507
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.601395,5.618172,6.531924,8.368472,6.77999075
