"","sample","tissue","endometriosis","severity","p226495_at","p229741_at","p231829_at","MAVS"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.08066,4.363354,5.701902,6.04863866666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.127367,4.363354,6.882257,6.79099266666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.398292,4.363354,5.430735,6.064127
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.206724,4.578524,6.162076,6.649108
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.805237,4.684715,6.76493,6.75162733333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.240312,4.531387,6.524969,6.765556
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.596333,4.363354,6.487438,6.482375
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.841984,4.363354,6.863119,6.68948566666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.173369,4.692712,5.435158,6.43374633333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.940342,4.531387,5.735467,6.40239866666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.308469,4.363354,6.524969,6.39893066666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.711434,4.531387,7.146978,6.79659966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.866988,4.363354,5.830242,6.353528
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.540633,4.896826,6.255474,6.564311
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.376872,5.149718,6.367237,6.964609
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.101505,4.995809,5.945057,6.68079033333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.727314,4.839269,6.524969,7.03051733333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.508161,5.016544,6.683681,6.73612866666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.77381,4.981934,7.591223,7.11565566666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.917628,6.33058,8.634099,8.29410233333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.977177,6.81756,8.440951,8.411896
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.877537,7.132733,8.185082,8.39845066666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.116812,5.460836,6.961783,7.17981033333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.279125,6.827703,8.265445,8.45742433333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.501016,6.506505,8.043255,8.35025866666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.672051,4.409917,7.581953,7.221307
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.702139,4.531387,8.147958,7.46049466666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.560519,5.164026,6.66433,7.129625
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.624926,5.768641,7.256157,7.549908
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.353108,6.521805,7.856235,8.243716
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.840671,4.242514,8.650808,7.57799766666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.628177,6.393367,6.827192,7.61624533333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.831399,4.363354,8.941027,7.71192666666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.679278,4.363354,7.610473,7.21770166666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.329755,6.798758,8.200187,8.10956666666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.629946,6.096073,7.940997,7.88900533333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.867298,4.531387,8.854739,7.75114133333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.598551,7.043221,7.658161,8.09997766666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.479818,5.747624,7.842287,7.68990966666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.18308,4.363354,8.729847,7.75876033333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.520691,6.777553,8.626752,8.308332
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.111937,6.887471,7.78929,8.26289933333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.539118,6.962493,6.971549,7.82438666666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.197276,5.755803,8.723342,7.89214033333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.168639,6.291234,9.183703,8.54785866666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.167791,5.373851,7.649496,7.397046
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.020949,4.363354,6.604063,6.996122
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.390174,6.102536,8.679649,8.057453
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.225075,6.082205,9.011208,8.439496
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.704309,4.531387,8.159985,7.465227
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.862935,4.861162,8.790618,7.83823833333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.293356,5.166075,8.557897,7.67244266666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.620419,5.442882,7.110173,7.391158
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.486964,5.947596,7.982101,8.138887
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.226791,7.148527,8.925565,8.766961
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.849241,6.471667,7.498707,7.60653833333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.372155,5.346263,7.885235,7.534551
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.398647,6.295284,7.895389,7.86310666666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.397948,7.251195,7.738677,8.12927333333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.840102,6.42643,7.487981,7.918171
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.524175,6.048764,7.151292,7.57474366666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.829446,7.408298,7.939268,8.39233733333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.814531,7.230202,7.379392,8.141375
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.373702,6.749263,6.281765,7.46824333333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.546762,6.858245,7.557869,7.98762533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.073308,6.835366,7.365968,8.09154733333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.944657,4.862886,6.449916,6.75248633333333
