"","sample","tissue","endometriosis","severity","p1558103_a_at","p209525_at","p209524_at","p209526_s_at","p228266_s_at","HDGFL3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.648823,3.432194,9.415268,8.063088,6.305757,6.173026
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.739263,3.340247,8.56722,7.8969,6.46422,6.00157
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.315461,3.589789,9.005551,8.704914,6.956099,6.7143628
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.128348,3.184528,8.74351,7.485341,6.344676,5.9772806
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.678346,3.537453,9.558577,9.060299,7.173795,6.801694
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.403113,3.432194,9.466407,8.477636,6.470068,6.4498836
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.618388,3.429053,7.669804,7.420932,6.44642,5.7169194
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.338635,3.429053,9.798891,8.003085,6.722033,6.6583394
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.981168,3.041533,9.561712,7.957913,5.899908,6.2884468
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.139678,3.429053,9.269122,8.052182,6.951742,6.3683554
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.338635,3.429053,10.113236,9.313723,7.618591,7.1626476
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.824075,3.387868,10.231157,9.022861,7.470872,7.1873666
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.335134,3.414579,10.18289,7.928327,6.214493,6.2150846
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.577635,3.429053,10.347381,8.777798,7.264284,7.0792302
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.456671,3.429053,9.930843,8.437218,6.448005,6.740358
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.042803,3.429053,9.383968,8.283428,5.917299,6.4113102
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.673797,3.429053,9.178518,8.273558,6.210019,6.352989
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.338635,3.429053,9.938783,8.401839,7.089407,6.8395434
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.326352,3.606983,9.690692,8.218134,6.964576,6.7613474
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.119792,3.340247,8.682547,7.222925,4.926039,5.65831
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.767832,3.340247,8.800997,7.499608,3.944242,5.6705852
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.996263,4.055155,9.08097,7.363105,4.624963,5.8240912
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.235637,3.501605,10.237764,6.356678,5.977569,6.4618506
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.54136,2.236067,8.831812,7.324781,3.448436,5.0764912
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.534472,2.772721,8.285639,6.554618,5.40683,5.310856
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.315461,2.712751,8.202692,4.417975,4.558437,5.0414632
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.60715,2.347263,8.38167,4.934737,3.116589,4.4774818
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.79743,3.066109,9.272125,8.286665,6.173651,6.319196
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.73509,3.340247,8.392887,5.616567,4.539895,5.5249372
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.706714,2.704505,8.650567,6.052822,4.539857,5.130893
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.63513,3.080006,9.162948,5.11432,4.158879,5.2302566
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.621305,3.429053,9.584512,8.145517,6.068871,6.3698516
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.54136,2.315704,7.248442,4.272495,5.22922,4.5214442
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.001491,3.182712,8.008278,6.84396,5.439139,5.495116
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.338635,3.340247,9.947454,8.062261,6.537768,6.645273
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.440333,3.340247,8.906671,7.248923,6.822141,5.951663
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.996731,2.737332,9.345117,6.365957,5.687673,5.826562
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.354096,3.429053,9.552945,8.097819,5.427582,6.372299
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.831554,3.340247,9.361267,6.783689,5.903812,5.8441138
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.519484,3.182712,9.003055,5.479506,5.899908,5.616933
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.796171,3.429053,10.283976,7.147843,6.085815,6.5485716
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.72237,3.429053,8.99992,7.442376,3.448436,5.608431
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.092025,2.758463,8.532304,4.876228,4.412439,4.9342918
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.429395,3.595881,9.747838,7.300458,4.016786,6.0180716
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.598566,3.340247,8.820442,6.784398,4.837037,5.676138
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.338635,3.182712,9.917581,7.763869,5.824634,6.4054862
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.862275,2.236067,8.837666,5.494918,3.448436,4.7758724
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.338635,3.432194,10.224264,6.35953,5.326709,6.1362664
