"","sample","tissue","endometriosis","severity","p217992_s_at","p222483_at","EFHD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.777935,3.95256,5.3652475
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.052883,4.370436,5.2116595
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.116391,3.013737,5.065064
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.034272,4.139986,5.587129
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.407636,4.196947,5.8022915
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.465726,5.76253,6.614128
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.063227,4.403143,5.733185
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.860575,3.774429,5.317502
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.594696,3.371537,4.9831165
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.155926,6.898145,7.5270355
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.620307,4.271155,5.445731
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.629679,4.687916,6.1587975
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.240319,7.041065,7.140692
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.31574,5.002858,6.159299
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.755771,3.013737,4.884754
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.776165,5.556916,6.6665405
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.076689,5.301816,6.6892525
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.668988,4.270896,5.969942
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.156095,3.774429,5.465262
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.17653,8.405304,9.290917
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.538758,7.439133,8.4889455
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.729984,8.299067,9.5145255
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.927412,9.377493,10.1524525
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.126031,8.645676,9.8858535
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.635396,7.916354,9.275875
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.489195,8.446492,9.4678435
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.859383,9.117018,9.9882005
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.742343,7.098279,8.420311
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.558308,8.108796,9.333552
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.720547,8.321108,9.5208275
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.249159,8.256666,9.7529125
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.598301,7.85641,9.2273555
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.348761,8.587386,9.9680735
