"","sample","tissue","endometriosis","severity","p201394_s_at","p201395_at","p209936_at","p230742_at","RBM5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.628041,11.34701,6.088722,6.23268,8.32411325
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.835582,10.87793,6.253046,5.375432,8.0854975
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.887618,10.559723,4.887695,5.37814,7.428294
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.681664,11.127243,6.079946,5.37814,8.06674825
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.289171,11.006342,7.610041,6.410468,8.8290055
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.61602,10.92026,6.545722,5.526598,8.15215
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.25076,10.3517,4.749011,5.37814,7.43240275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.900444,11.259041,5.130209,5.564583,7.96356925
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.253952,11.63209,7.124157,6.71423,8.93110725
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.034101,10.46582,5.080189,5.042184,7.4055735
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.373349,10.944942,6.332707,6.32622,8.2443045
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.321088,11.033672,6.462718,6.672657,8.37253375
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.832647,10.445509,5.819376,7.706764,8.201074
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.919301,10.87088,6.448923,6.765242,8.5010865
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.866218,11.313414,5.665953,7.202369,8.5119885
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.055435,11.120191,6.607131,6.991194,8.69348775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.822463,11.070628,6.049699,7.31036,8.5632875
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.122221,10.653599,6.770944,6.965006,8.3779425
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.601312,10.198193,6.268334,7.49142,8.13981475
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.277016,9.477131,4.170531,5.37814,6.3257045
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.389858,9.609224,3.114922,5.369702,6.1209265
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.804226,8.82364,3.114922,5.730945,5.86843325
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.87907,9.600956,4.410372,5.37814,6.3171345
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.057988,9.375518,3.549139,2.93124,5.47847125
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.188049,8.806804,5.263361,4.210156,5.8670925
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.029568,8.750922,5.467112,4.273559,5.88029025
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.96336,8.735142,4.835326,4.339449,5.21831925
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.242676,10.020233,4.202973,3.80079,6.316668
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.210629,10.264295,5.776793,4.36339,6.65377675
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.247289,9.09104,3.041363,5.420884,5.200144
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.698257,9.213207,2.746032,4.999327,5.16420575
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.986604,9.317145,4.345792,5.220983,6.217631
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.699753,8.472223,4.849629,3.679275,5.42522
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.997578,8.420257,4.304515,3.25479,5.244285
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.768673,11.057115,4.513734,5.383367,7.43072225
