"","sample","tissue","endometriosis","severity","p202551_s_at","p228496_s_at","CRIM1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.193952,9.102197,9.1480745
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.423463,8.582944,8.5032035
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.968556,9.535302,9.251929
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.457101,8.844101,9.150601
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.723291,7.622759,7.173025
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.034745,9.624975,9.32986
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.729883,8.318644,8.5242635
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.553916,8.403553,8.4787345
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.973256,9.119974,9.546615
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.467219,8.62813,8.5476745
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.968155,9.249,9.1085775
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.437878,8.936623,9.1872505
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.867895,8.878396,9.3731455
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.657438,9.114197,8.8858175
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.734714,8.424741,8.5797275
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.736505,10.651174,10.1938395
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.865072,9.925249,9.8951605
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.29706,9.412949,9.3550045
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.541986,9.980534,10.26126
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.851372,7.5897,7.220536
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.097066,6.754958,6.426012
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.172247,6.921791,6.547019
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.015076,5.563621,5.7893485
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.400724,3.823467,4.6120955
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.027385,5.386806,5.7070955
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.543446,5.391034,5.46724
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.836356,2.848145,3.8422505
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.867806,5.254456,5.561131
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.285864,5.892156,6.08901
