"","sample","tissue","endometriosis","severity","p55616_at","p221811_at","PGAP3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.597629,6.902118,7.2498735
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.041214,7.078747,7.0599805
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.631803,7.109561,7.370682
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.559289,7.500875,7.530082
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.644197,7.552283,7.59824
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.773032,7.195309,7.4841705
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.397017,6.653727,7.025372
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.793123,7.116466,7.4547945
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.551469,6.963818,7.2576435
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.811222,6.063269,6.4372455
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.493553,7.097744,7.2956485
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.683232,6.802763,7.2429975
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.51229,6.66795,7.09012
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.737453,6.961432,7.3494425
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.930963,7.501578,7.7162705
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.929945,6.352453,6.641199
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.306277,6.448833,6.877555
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.420293,7.045286,7.2327895
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.345131,5.925606,6.1353685
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.42089,7.999546,8.710218
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.579165,8.070967,8.825066
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.705416,7.841136,8.273276
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.937196,7.566531,8.2518635
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.346697,8.477153,8.911925
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.550954,8.460304,9.005629
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.779359,9.114508,9.9469335
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.338764,9.132025,9.7353945
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.18919,8.111981,8.6505855
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.254568,8.054093,8.6543305
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.857691,8.715993,9.286842
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.405111,9.276671,9.840891
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.991104,8.122406,8.556755
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.597826,9.589453,10.0936395
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.27214,9.345527,9.8088335
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.699361,7.706584,8.2029725
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.833535,8.883072,9.3583035
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.396449,9.018306,9.7073775
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.651067,7.573487,8.112277
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.831767,8.638169,9.234968
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.011541,8.818064,9.4148025
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.193922,8.235643,8.7147825
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.205515,8.404598,8.8050565
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.609971,8.44576,9.0278655
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.518041,7.96839,8.7432155
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.490703,8.45817,8.9744365
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.461254,8.074469,8.7678615
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.457616,9.156018,9.806817
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.992901,7.946135,8.469518
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.761913,8.535913,9.148913
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.524728,8.976104,9.750416
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.665018,8.740913,9.2029655
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.058975,8.917378,9.4881765
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.356592,8.662513,9.5095525
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.281329,8.638368,8.9598485
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.533568,8.250878,8.892223
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.537856,7.089445,7.8136505
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.860813,8.620419,9.240616
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.679571,7.611128,8.1453495
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.821089,6.608444,7.2147665
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.753443,8.075226,8.9143345
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.430684,8.157305,8.7939945
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.180193,7.387511,7.783852
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.24116,7.494361,7.8677605
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.154883,6.881697,7.51829
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.436506,7.124905,7.7807055
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.359321,8.281648,8.8204845
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.557018,8.076541,8.8167795
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.383953,6.056033,6.719993
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.891453,6.872711,7.382082
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.019583,6.85019,7.4348865
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.521106,6.184472,6.852789
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.892195,6.946788,7.4194915
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.092427,6.999886,7.5461565
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.756765,6.158669,6.957717
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.608088,6.5333,7.070694
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.193675,7.173979,7.683827
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.697754,6.853339,7.2755465
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.784717,6.707556,7.2461365
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.780237,6.565551,7.172894
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.103526,7.957695,8.5306105
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.475659,6.021068,6.7483635
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.84785,6.557233,7.2025415
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.693257,7.325536,8.0093965
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.856262,7.842368,8.349315
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.987928,7.793989,8.3909585
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.712643,7.932064,8.3223535
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.22742,9.08281,9.655115
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.709344,8.419153,9.0642485
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.420892,7.125345,7.7731185
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.685445,7.71514,8.2002925
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.838842,7.858272,8.348557
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.686042,8.553641,9.1198415
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.237579,8.302832,8.7702055
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.503016,7.361082,7.932049
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.423577,8.772633,9.598105
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.855879,7.869656,8.3627675
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.011442,7.893673,8.4525575
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.227488,8.179237,8.7033625
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.811662,8.433742,9.122702
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.575964,9.039364,9.807664
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.813735,7.823418,8.3185765
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.81918,7.298825,8.0590025
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.621691,7.488375,8.055033
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.313249,9.036644,9.6749465
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.545389,8.231349,8.888369
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.69749,7.633923,8.1657065
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.522567,8.553985,9.038276
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.011639,7.68642,8.3490295
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.896186,7.873286,8.384736
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.213789,8.206728,8.7102585
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.521663,8.59822,9.0599415
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.56735,8.503961,9.0356555
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.452066,7.790316,8.621191
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.804371,7.399799,7.602085
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.204585,7.583922,7.3942535
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.030207,7.123619,7.076913
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.561864,7.152748,7.357306
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.970814,7.290917,7.6308655
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.823901,7.307761,7.565831
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.42129,7.245941,7.8336155
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.558094,6.714281,7.1361875
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.804946,6.995888,7.400417
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.455355,6.307483,6.881419
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.88425,6.886516,7.385383
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.50369,6.299746,6.901718
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.712759,6.000473,6.856616
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.191775,6.224093,6.707934
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.425528,6.529645,6.9775865
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.513154,5.87198,6.192567
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.819325,7.020193,7.419759
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.969948,5.666711,6.3183295
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.669549,6.518258,7.0939035
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609194,6.358765,6.9839795
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.597406,6.584105,7.0907555
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.771652,6.733912,7.252782
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.578562,6.366981,6.9727715
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.593959,6.527083,7.060521
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.631641,7.058886,7.3452635
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.429847,6.352958,6.3914025
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.652472,6.787669,7.2200705
