"","sample","tissue","endometriosis","severity","p218582_at","p226394_at","MARCH5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.233741,6.758929,7.496335
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.886388,5.930376,7.408382
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.197039,4.930452,6.5637455
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.516918,6.207249,6.8620835
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.749306,6.791461,7.7703835
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.178865,4.97626,6.5775625
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.355666,5.004994,6.18033
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.710198,6.351437,7.5308175
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.47895,6.678851,7.5789005
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.071577,3.872736,5.9721565
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.933054,6.183661,7.5583575
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.087257,5.927832,7.0075445
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.13597,4.613285,5.8746275
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.918051,6.327668,7.1228595
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.869775,6.274379,7.072077
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.14998,6.065329,7.1076545
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.046868,4.519448,6.283158
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.112827,5.98432,7.0485735
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.114918,5.75605,6.435484
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.431787,5.846898,6.6393425
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.437231,6.392165,6.914698
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.05128,5.355433,6.2033565
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.558907,6.572919,6.565913
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.362736,6.001614,6.182175
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.024375,4.77343,5.3989025
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.403839,5.488664,5.4462515
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.424072,5.761863,5.5929675
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.820123,6.776543,7.298333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.316281,5.256663,5.286472
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.700476,3.455338,5.077907
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.116111,6.457134,6.2866225
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.345516,6.838341,7.0919285
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.22914,4.210227,4.7196835
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.273642,3.767405,5.0205235
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.87033,6.782665,7.3264975
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.087408,5.864332,5.97587
