"","sample","tissue","endometriosis","severity","p1558254_s_at","p214931_s_at","p230091_at","SRPK2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.193449,5.829356,5.544093,6.188966
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.610975,5.955323,4.425737,5.66401166666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.508884,5.095588,3.937909,4.84746033333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.313704,5.753235,3.879216,5.315385
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.178696,6.24634,5.60759,6.34420866666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.829583,5.872087,4.325778,5.675816
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.206076,5.038611,3.681888,4.64219166666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.76764,5.042924,3.937909,4.91615766666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.909302,5.900984,4.373236,5.72784066666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.241803,6.312953,4.894427,6.14972766666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.063532,6.595546,4.93456,6.19787933333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.094143,6.151378,3.937909,5.72781
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.826846,4.468514,3.937909,4.744423
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.411324,5.292459,4.703268,5.469017
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.604471,5.403427,4.303045,5.436981
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.007088,5.780313,4.257685,5.68169533333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.634451,5.107603,3.9727,5.23825133333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.818513,5.515434,5.069767,5.801238
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.489444,5.122967,5.172819,5.59507666666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.131477,4.468514,4.025634,4.541875
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.720127,4.176451,3.401747,4.09944166666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.29701,4.459685,3.613187,4.45662733333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.973082,4.105793,3.80682,3.96189833333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.317572,4.268917,3.663346,3.749945
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.828141,4.539846,3.439358,3.60244833333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.143487,4.750755,3.123538,3.67259333333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.627027,4.468514,2.866077,3.32053933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.30339,4.38574,3.777627,4.488919
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.828141,4.554214,3.804256,3.72887033333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.627027,4.817142,3.064578,3.50291566666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.143487,4.468514,3.94244,3.85148033333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.14437,4.468514,4.093478,4.235454
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.660795,4.468514,3.481175,3.536828
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.882622,4.468514,2.248547,3.19989433333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.705068,5.045404,6.039372,6.26328133333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.001022,4.468514,3.893545,4.45436033333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.828141,4.206668,3.517596,3.51746833333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.045167,4.47219,4.647745,5.38836733333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.143487,4.468514,3.804256,3.805419
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.317572,4.468514,3.46576,3.75061533333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.317572,4.335842,4.551443,4.06828566666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.828141,4.468514,3.401747,3.566134
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.143487,4.468514,3.970932,3.86097766666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.564265,4.28062,4.344732,4.72987233333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.143487,4.256458,4.092141,3.83069533333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.188561,4.468514,3.804256,3.82044366666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.828141,4.468514,3.642479,3.646378
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.143487,4.176451,4.147288,3.82240866666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.154489,4.311281,3.804256,3.75667533333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.857372,4.468514,3.689577,3.671821
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.535028,4.468514,3.064578,3.68937333333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.177517,4.468514,2.385319,3.34378333333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.142727,4.468514,3.798156,3.80313233333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.653386,5.158599,4.081875,4.63128666666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.144079,4.103431,4.520154,3.92255466666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.85026,4.333367,5.21835,5.13399233333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.31537,4.181758,3.512559,4.003229
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.126165,4.713923,3.677671,4.839253
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.985582,4.795935,5.162269,5.64792866666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224991,4.65958,4.326806,5.070459
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.718443,4.469273,3.401747,4.19648766666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.275695,4.696132,4.524838,5.165555
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.356925,4.477819,4.855423,5.23005566666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.255423,4.105793,4.942412,4.767876
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.932637,4.579038,5.131987,5.54788733333333
