"","sample","tissue","endometriosis","severity","p201935_s_at","p201936_s_at","EIF4G3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.166061,7.696145,8.431103
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.168914,5.910037,7.0394755
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.041612,6.766484,7.904048
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.848388,6.783188,7.815788
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.276518,7.824685,8.5506015
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.519382,6.416119,7.4677505
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.157249,5.40331,7.2802795
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.816538,6.898583,7.8575605
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.048597,7.282443,8.16552
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.809179,7.352799,8.080989
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.761897,7.323659,8.042778
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.998738,7.384499,8.1916185
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.791243,7.640181,8.215712
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.557208,7.729688,8.643448
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.405374,7.758979,8.5821765
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.195069,7.170844,8.1829565
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.43849,7.510275,8.4743825
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.082749,7.255407,8.169078
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.947875,7.727616,8.3377455
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.864764,4.807565,5.3361645
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.126681,5.35472,5.7407005
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.610083,4.29582,4.9529515
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.862861,6.062006,6.4624335
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.622226,3.219833,3.9210295
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.430102,4.043845,4.2369735
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.181964,3.258912,3.220438
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.366659,4.061339,4.213999
