"","sample","tissue","endometriosis","severity","p203967_at","p203968_s_at","CDC6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.707672,4.046699,3.3771855
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.824895,6.243408,5.0341515
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.467611,3.753727,3.610669
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.580978,3.046013,2.8134955
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.889782,6.450629,6.1702055
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,3.731089,3.1259635
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.580978,3.731089,3.1560335
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.036966,4.015467,3.5262165
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.892403,6.103066,4.9977345
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.96015,4.312783,3.6364665
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.96807,5.098031,4.0330505
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.079194,4.645832,3.862513
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,3.046013,2.7834255
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.380937,6.923657,6.152297
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.238384,6.431825,5.8351045
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.496973,3.046013,2.771493
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,2.991635,2.7562365
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,3.412734,2.966786
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.609496,3.753727,3.1816115
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,3.091733,2.8062855
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.199553,5.949531,6.074542
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.657844,3.831617,3.2447305
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,2.962582,2.74171
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.606322,3.753727,3.1800245
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,3.079932,2.800385
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,3.495258,3.008048
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.118261,3.759349,3.438805
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.115758,5.139786,4.627772
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.524372,3.046013,2.7851925
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,3.753727,3.1372825
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.855276,4.043414,3.949345
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.407747,5.088539,4.248143
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.606217,3.046013,2.826115
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.606217,3.753727,3.179972
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.175918,4.048285,3.6121015
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,3.753727,3.1372825
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.689323,3.753727,3.221525
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.042092,3.406094,3.224093
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.972213,3.079932,3.0260725
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,2.962582,2.74171
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.41225,3.466944,3.439597
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.606217,3.247964,2.9270905
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.25753,3.242976,2.750253
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,2.422321,2.4715795
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,3.185597,2.8532175
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.348133,5.452504,5.4003185
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.520838,4.359205,3.4400215
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,3.046013,2.7834255
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.030852,2.6334595
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.520838,3.832226,3.176532
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.182332,3.500019,3.3411755
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.079932,2.6579995
