"","sample","tissue","endometriosis","severity","p230263_s_at","p230206_at","p230207_s_at","DOCK5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.020398,9.25476,10.566394,9.947184
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.939922,9.507004,10.193479,9.880135
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.701894,6.501957,9.127078,7.77697633333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.730306,10.492162,11.049783,10.757417
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.850477,7.254933,9.021196,8.042202
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.602912,10.118589,10.881485,10.5343286666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.106939,8.924175,10.297416,9.77617666666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.261683,8.468348,9.610478,9.113503
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.296148,8.646604,10.035869,9.65954033333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.369502,8.573003,10.154067,9.365524
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.894472,9.098426,10.133171,9.70868966666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.739402,9.278439,10.416548,9.811463
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.499249,9.401181,9.966077,9.95550233333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.013835,7.78486,9.506502,8.768399
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.838745,7.84658,9.290923,8.65874933333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.057232,9.016793,10.32477,9.79959833333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.200913,8.879023,10.431735,9.83722366666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.224183,9.41451,10.931842,10.1901783333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.884987,9.415567,10.595469,9.965341
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.888672,7.210231,8.110264,8.06972233333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.782899,6.849373,7.921657,7.85130966666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.593209,6.415807,7.33352,7.447512
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.009849,4.141148,6.947199,6.032732
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.010457,4.863699,6.299371,6.05784233333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.935704,4.295915,6.372291,5.86797
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.525796,4.050167,6.028225,5.86806266666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.81413,3.758294,5.681067,4.75116366666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.044149,6.29405,7.755363,7.36452066666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.814451,5.598129,7.001897,7.138159
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.520298,4.037222,6.249937,5.26915233333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.38824,4.033585,5.005575,4.80913333333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.60979,4.141148,5.682164,5.47770066666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.788822,3.729008,5.681067,4.73296566666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.834877,4.411622,5.681067,4.97585533333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.474918,7.026697,8.27291,8.59150833333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.193695,4.050167,5.681067,5.641643
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.798788,4.142418,6.217928,5.71971133333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.513694,9.341668,9.578093,9.81115166666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.872845,4.515193,6.880233,6.422757
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.751013,5.274387,6.31261,6.44600333333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.935079,5.762255,6.74021,6.81251466666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.294756,4.141148,5.621546,5.35248333333333
