"","sample","tissue","endometriosis","severity","p225186_at","p225188_at","p225189_s_at","RAPH1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.593721,10.284835,8.063052,7.980536
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.173522,8.821866,6.47274,6.489376
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.91024,7.211424,5.403577,5.17508033333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.428962,9.664549,7.781435,7.624982
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.055597,8.899701,6.825595,6.92696433333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.757492,10.672735,8.52445,8.31822566666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.380392,10.0935,7.99483,7.489574
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.604665,7.703305,5.403577,5.57051566666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.510447,9.606466,6.541628,6.88618033333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.733237,10.838706,9.193127,8.92169
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.173522,8.556408,5.731083,6.153671
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.746768,8.763038,6.553603,6.35446966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.937158,10.963168,7.775655,8.225327
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.400051,8.802171,6.967279,6.723167
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.495786,9.45688,8.15955,7.37073866666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.827298,10.935796,9.647365,8.80348633333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.998513,10.861124,9.289805,8.71648066666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.001883,11.181693,9.26944,9.15100533333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.721704,9.936103,8.260863,8.30622333333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.653466,10.088577,9.0475,8.263181
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.496115,8.486618,7.070959,6.35123066666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.937203,9.871442,8.566522,8.12505566666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.173522,9.714161,7.326506,7.07139633333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.604665,8.450609,7.309139,6.45480433333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.79158,9.076808,8.018763,6.96238366666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.604665,8.645977,6.159861,6.13683433333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.174315,8.235762,3.839001,5.083026
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.461628,7.948411,6.122667,5.84423533333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.678712,9.631875,8.202591,6.837726
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.463284,8.010997,5.886527,5.45360266666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.619815,7.453266,5.127768,5.06694966666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.075236,8.029274,6.228133,5.77754766666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.463284,6.08824,4.641682,4.39773533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.239498,6.180819,4.954144,4.791487
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.489304,9.866825,8.640758,7.99896233333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.254851,10.023184,8.374714,7.88424966666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.619815,7.883123,5.403577,5.30217166666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.843403,9.81098,9.251029,8.301804
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.619815,8.55785,6.670197,5.94928733333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.460311,9.509935,7.658755,6.87633366666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.600453,9.490075,7.195131,6.76188633333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.031255,7.605182,6.317743,5.98472666666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.937755,9.652923,7.515291,6.70198966666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.913708,10.887681,8.579159,8.46018266666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.173522,8.789727,6.460946,6.47473166666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.86842,8.725873,7.299342,6.29787833333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.318299,6.106845,3.753463,4.392869
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.971671,9.819088,7.122961,6.97124
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.485067,9.38935,7.455875,7.11009733333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.986798,8.881333,5.403577,5.757236
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.604665,8.075673,5.942393,5.87424366666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.341793,9.365449,7.260002,6.98908133333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.8547,8.607101,7.240849,6.23421666666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.931125,6.543627,5.530537,5.001763
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.069902,8.719862,7.934954,6.574906
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.449244,9.973027,9.022239,7.81483666666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.65571,8.060266,6.627915,5.781297
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.299643,10.635874,10.351045,9.428854
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.12954,10.158891,9.341144,8.54319166666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.82124,9.088867,7.787072,6.89905966666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.604665,8.78998,7.670405,6.68835
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50374,9.444813,8.959867,8.30280666666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.68176,10.213417,9.788808,8.89466166666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.324836,10.104982,8.910816,7.78021133333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.10208,9.882556,9.26442,8.08301866666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.007767,7.892808,6.527532,5.809369
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.86364,7.454674,5.942393,5.753569
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.193778,9.667688,8.441125,7.76753033333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.499206,9.399098,7.756715,7.21833966666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.950248,9.732399,8.158112,7.61358633333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.208336,8.677125,7.716489,7.20065
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.039297,10.473,8.793706,8.43533433333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.382145,8.973107,7.775865,7.377039
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.030624,9.332946,7.974756,7.44610866666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.879704,9.718902,8.387889,7.662165
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.667337,10.908886,9.657945,9.078056
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.889505,8.892333,7.359805,7.04721433333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.632645,10.043669,9.159726,8.61201333333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.425048,8.990947,7.997719,7.471238
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.230614,10.381496,8.728061,8.11339033333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.339384,8.989593,7.906951,7.411976
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.981932,9.22293,7.823637,7.342833
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.273792,9.208937,8.319865,7.60086466666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.077752,10.285182,9.551476,8.63813666666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.62267,8.972362,7.720769,7.105267
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.508699,9.686609,8.291952,7.82908666666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.619815,8.617887,5.593144,5.610282
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.706333,9.257494,8.102788,7.35553833333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.391635,8.334129,7.309488,6.67841733333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.185322,7.626728,6.07501,5.62902
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.612714,9.14614,7.760878,7.173244
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.91024,8.928151,5.727632,5.855341
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.173522,8.09029,6.217567,6.16045966666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.564912,10.268908,9.151278,8.328366
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.69526,9.949135,8.403433,7.68260933333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.290873,8.569915,7.141917,6.66756833333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.862395,9.60878,8.29337,7.58818166666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.332931,9.630294,8.720408,7.561211
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.888271,9.364863,5.62719,5.960108
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.894602,9.530422,3.753463,5.72616233333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.606718,8.52866,6.944578,6.35998533333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.609213,8.353101,7.37672,6.44634466666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.471177,10.135907,8.502279,8.03645433333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.982463,7.931056,5.19211,5.368543
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.176823,10.093285,8.244872,7.50499333333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.428206,9.950192,8.850621,8.07633966666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.216674,7.773657,6.644304,6.211545
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.796852,9.336471,6.796621,6.64331466666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.916929,8.379373,7.368326,6.22154266666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.693796,7.578701,6.975335,5.74927733333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.535784,7.814383,6.583075,5.97774733333333
