"","sample","tissue","endometriosis","severity","p213623_at","p228680_at","KIF3A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.769344,7.094059,5.9317015
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.615578,5.573708,5.094643
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.037642,6.119971,5.5788065
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.874664,6.454198,6.164431
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.843806,5.358869,5.1013375
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.198857,6.812702,6.0057795
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.808613,5.061741,5.435177
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.743718,5.553427,5.1485725
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.723283,5.760419,5.741851
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.615838,6.566496,5.591167
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.896093,6.271917,6.084005
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.425691,6.621377,6.023534
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.77366,5.987219,5.3804395
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.932882,6.810917,6.3718995
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.19583,6.520528,5.858179
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.903177,6.441118,6.1721475
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.302625,6.503447,5.903036
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.794037,6.415208,6.1046225
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.037198,6.227801,6.1324995
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.603694,6.148996,4.376345
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.624681,3.930374
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.4396,6.509891,4.4747455
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.456701,6.374777,4.915739
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.32727,5.589209,3.9582395
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.420977,6.844125,4.632551
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.32727,7.19959,4.76343
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.492742,3.8644045
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.340401,6.998859,4.66963
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.050855,7.759801,5.405328
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.32727,7.407592,4.867431
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.32727,6.165761,4.2465155
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.340401,7.670574,5.0054875
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,4.727782,3.4819245
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.430249,3.833158
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.836263,6.833335,5.834799
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.088318,6.195859,5.1420885
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.737544,6.563881,4.6507125
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.119917,6.958961,5.039439
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.340401,6.061011,4.200706
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.32727,7.155435,4.7413525
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.584462,7.164707,4.8745845
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.32727,5.454969,3.8911195
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.050855,6.968427,5.009641
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.050855,7.259114,5.1549845
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.58668,6.942464,4.764572
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.887487,6.005335,4.446411
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.32727,6.005335,4.1663025
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.653343,6.780562,4.7169525
