"","sample","tissue","endometriosis","severity","p225171_at","p225166_at","p225173_at","ARHGAP18"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.301354,3.648243,7.070496,6.67336433333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.87984,3.301132,8.113209,6.43139366666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.565199,2.533413,5.204942,4.434518
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.653364,2.406694,4.6509,4.57031933333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.208201,3.364696,7.140443,6.23778
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.077662,2.783653,4.735127,4.86548066666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.539014,2.236067,5.204942,4.32667433333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.766057,3.059519,6.110865,5.64548033333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.456652,3.364696,7.503207,6.44151833333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.073846,3.210191,6.950541,6.07819266666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.496854,2.750037,7.98353,6.41014033333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.493155,3.794351,7.640319,6.64260833333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.613617,2.406694,6.852992,5.62443433333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.312765,3.364696,5.850079,5.84251333333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.611272,3.364696,7.150319,6.375429
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.653893,3.051945,5.678044,5.461294
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.853765,3.261481,5.050945,5.38873033333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.41782,2.587986,5.43778,5.147862
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.243937,2.406694,5.204942,4.95185766666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.258117,2.628684,5.641537,4.84277933333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.602703,3.364696,7.376591,6.11466333333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.073111,2.236067,6.533859,5.28101233333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.491618,3.358576,8.407979,6.419391
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.672788,2.236067,3.235359,4.04807133333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.544264,3.059519,4.410617,4.67146666666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.655645,2.545598,3.763357,4.32153333333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.028426,3.358576,3.763357,4.71678633333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.3346,4.262381,7.12606,6.574347
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.81582,3.364696,3.51932,4.89994533333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.816003,3.059519,4.758594,4.87803866666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.707944,2.689252,3.505503,4.30089966666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.824931,3.329097,5.800749,5.65159233333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.336244,2.236067,3.297767,3.95669266666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.34911,2.236067,4.042385,4.20918733333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.119477,4.815855,8.547396,7.49424266666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.4428,3.163137,5.809,5.13831233333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.188148,3.358576,5.787144,5.44462266666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.778225,3.716086,8.282041,6.92545066666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.247353,3.358576,6.949646,5.85185833333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.588553,3.358576,5.084516,5.34388166666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.233937,3.947634,7.151753,6.44444133333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.669895,3.059519,2.983184,4.23753266666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.544162,3.364696,6.150816,5.686558
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.622673,3.22435,5.588524,5.47851566666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.434735,3.059519,4.999952,4.831402
