"","sample","tissue","endometriosis","severity","p244808_at","p224807_at","GRAMD1A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.411719,6.226893,5.819306
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.347786,5.817945,5.5828655
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.010231,5.216021,5.113126
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.733632,7.356827,6.5452295
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.027551,6.514605,5.771078
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.394232,6.951116,6.672674
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.743149,5.767022,5.2550855
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.780068,6.897021,5.8385445
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.743149,5.516335,5.129742
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.437225,6.453983,5.945604
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.478089,5.867574,5.6728315
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.953455,6.788215,5.870835
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.437873,6.422294,5.4300835
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.600984,5.886334,5.743659
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.719951,5.894586,5.8072685
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.683329,6.566623,6.624976
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.743149,5.690841,5.216995
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507409,6.501951,6.50468
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.099442,6.663762,6.381602
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.608639,9.22097,8.4148045
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.949696,8.311573,7.6306345
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.944654,9.259968,8.602311
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.915677,10.073109,8.994393
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.250194,9.493519,8.3718565
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.573024,9.325005,8.9490145
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.517969,9.430057,8.974013
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.085127,10.005072,9.0450995
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.089452,9.284663,8.1870575
