"","sample","tissue","endometriosis","severity","p202626_s_at","p210754_s_at","LYN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.141205,5.34234,5.7417725
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.482922,5.364567,5.4237445
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.552325,6.112794,5.8325595
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.548444,5.6352,5.591822
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.34579,7.003716,6.674753
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.443515,5.923268,5.6833915
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.403935,7.077746,7.2408405
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.226687,6.173342,6.2000145
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.447141,6.313538,6.3803395
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.297371,6.897505,7.097438
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.543043,5.955049,5.749046
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.822783,6.681333,6.752058
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.993511,5.388002,5.6907565
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.005848,6.583812,6.79483
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.908165,6.098839,6.503502
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.914377,6.371623,6.643
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.16098,6.940637,7.0508085
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.24151,6.080211,6.1608605
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.424344,6.819177,6.6217605
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.511906,5.323745,5.9178255
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.674898,4.757385,5.2161415
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.742876,6.931552,7.337214
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.117929,6.159661,7.138795
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.959355,4.267767,5.113561
