"","sample","tissue","endometriosis","severity","p1553801_a_at","p227158_at","DTD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,8.073324,6.29463
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.805165,6.548221,5.176693
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.403122,7.877184,5.640153
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.403122,5.635189,4.5191555
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.905072,8.208753,6.5569125
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.306023,5.4109795
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,5.983848,5.249892
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.494234,7.100755,5.7974945
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.738525,5.6272305
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.958979,5.7374575
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.475662,7.607907,6.5417845
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.232985,7.972552,6.6027685
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.503908,6.201649,4.8527785
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,7.743037,6.1294865
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.76912,8.426686,6.597903
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,7.230021,5.8729785
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.225297,6.503942,5.3646195
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515936,6.476406,5.496171
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.975914,7.514752,6.245333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.503908,6.460835,4.9823715
