"","sample","tissue","endometriosis","severity","p209466_x_at","p211737_x_at","PTN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.684914,11.931039,11.3079765
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.54316,10.069799,10.3064795
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.845333,10.956579,10.900956
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.955381,10.747009,10.351195
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.981326,9.548277,9.2648015
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.798433,11.663429,11.230931
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.624345,11.035841,10.830093
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.239864,10.681394,10.460629
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.427336,10.809539,10.6184375
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.099369,12.213405,11.656387
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.856801,10.526776,10.1917885
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.661451,10.709829,10.18564
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.198163,11.555905,10.877034
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.583075,10.330852,9.9569635
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.357719,10.307355,9.832537
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.960279,11.069535,10.514907
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.968074,10.894236,10.431155
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.254452,11.355841,10.8051465
