"","sample","tissue","endometriosis","severity","p242512_at","p219027_s_at","p226203_at","MYO9A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.832246,6.423963,8.450711,6.90230666666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.091052,6.473358,7.799548,6.45465266666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.257467,7.152288,6.405252,6.271669
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.001764,8.318712,9.364062,7.894846
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.801679,6.871945,8.034225,6.90261633333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.336341,6.758105,8.958607,7.01768433333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.649926,7.156125,7.998577,6.934876
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.381097,6.423963,8.376339,6.727133
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.013542,6.423963,8.463573,6.967026
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.257467,7.141969,8.522116,6.97385066666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.284189,6.423963,7.492066,6.40007266666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.336341,6.423963,7.566263,6.442189
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.668929,7.669603,9.056115,7.46488233333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.236935,6.423963,8.371623,6.677507
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.852914,7.124046,8.492181,7.15638033333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.781373,7.810916,9.310164,7.96748433333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.001097,7.014801,9.353711,7.78986966666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.868628,7.133893,9.52519,7.84257033333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.694313,6.937285,9.036206,7.55593466666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.83838,7.752647,8.083674,7.55823366666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.336341,7.154937,7.054391,6.515223
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.529089,6.772357,7.211563,6.50433633333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.990737,7.152288,7.239194,6.12740633333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.952273,7.377173,7.652047,6.993831
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.257467,7.152288,7.725059,6.71160466666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.218038,6.925468,8.083674,6.74239333333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.818903,6.464453,6.483882,5.58907933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.336341,7.256893,8.028907,6.874047
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.48992,7.267106,8.486914,7.41464666666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.232333,6.606129,7.00044,6.279634
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.198684,7.268258,6.991899,6.152947
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.474334,6.972488,7.568293,6.33837166666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.68975,7.152288,6.29781,5.71328266666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.818903,7.152288,5.922554,5.63124833333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.674294,7.757376,9.042112,7.49126066666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.954001,7.411091,7.624621,6.66323766666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.336341,7.114169,7.513293,6.654601
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.488099,7.584196,8.350594,7.47429633333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.953412,6.752354,7.625373,6.443713
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.502557,7.407695,8.215713,7.04198833333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.304222,7.44475,8.29053,7.01316733333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.59562,6.941414,6.391278,5.976104
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.098034,6.890201,7.205183,6.397806
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.910927,8.281345,8.487925,7.56006566666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.986593,7.034925,7.592273,6.53793033333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.471735,7.094441,7.548712,6.70496266666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.254982,6.782259,6.884541,5.97392733333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.457537,7.152288,7.069905,6.22657666666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.876896,7.227353,8.049235,7.05116133333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.219168,6.625432,6.821934,6.222178
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.772289,6.532977,6.405252,5.903506
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.257467,7.069581,7.304794,6.54394733333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.257467,6.624935,7.669809,6.51740366666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.548561,6.577846,6.776994,6.30113366666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.287794,6.949079,8.113565,6.78347933333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.909622,7.778707,9.037976,7.575435
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.336341,6.43943,7.745933,6.50723466666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.934645,8.154067,8.954486,7.681066
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.388632,8.26628,9.39545,8.35012066666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.823675,7.153585,7.907765,6.961675
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.336341,6.909482,7.722309,6.656044
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.336341,7.424265,8.616253,7.12561966666667
