"","sample","tissue","endometriosis","severity","p218987_at","p225917_at","ATF7IP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.302196,9.086878,7.694537
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.014007,8.964807,7.989407
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.314542,9.690424,8.502483
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.849101,9.210056,8.0295785
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.906434,9.386033,8.1462335
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.616554,8.996919,8.3067365
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.331837,8.841065,7.586451
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.064307,9.254256,8.6592815
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.738925,10.072166,8.4055455
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.27291,8.905706,8.589308
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.76362,9.626231,8.6949255
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.301624,9.649846,8.475735
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.961878,9.478768,8.220323
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.427675,9.661754,8.5447145
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.809051,9.114778,7.9619145
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.911986,9.213096,8.062541
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.712143,9.129839,7.920991
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.262126,8.7376,7.999863
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.643287,8.845941,8.244614
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.721578,8.09287,7.907224
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.11984,8.201235,7.6605375
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.412168,7.853027,7.6325975
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.205945,8.903692,8.5548185
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.41369,7.782003,7.5978465
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.826712,8.383362,7.605037
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.861538,8.661912,7.261725
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.535149,8.622839,8.078994
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.63461,9.14788,8.391245
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.403799,9.139742,7.2717705
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.441104,8.58359,8.012347
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.324185,8.923591,8.623888
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.151781,9.779106,8.4654435
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.859451,7.981738,6.9205945
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.695604,7.987132,6.841368
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.579615,9.007837,8.293726
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.330216,7.983072,7.656644
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.250078,8.764913,8.0074955
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.510757,8.310567,7.910662
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.204665,8.694631,7.949648
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.31363,7.889256,7.101443
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.447945,9.091587,8.269766
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.875177,7.478467,7.676822
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.702748,7.92515,6.813949
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.839318,8.435982,8.13765
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.962314,8.14612,8.054217
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.232983,8.378952,7.8059675
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.319922,7.9717,7.645811
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.325447,8.831702,8.5785745
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.674568,7.563997,7.1192825
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.808041,7.991295,6.899668
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.858304,7.761732,7.310018
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.249893,7.803703,7.526798
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.847808,8.941965,7.3948865
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.805647,8.872419,7.839033
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.771335,8.856086,8.3137105
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.419885,8.87578,8.1478325
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.632333,8.474686,7.5535095
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.937144,7.934614,7.935879
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.387191,8.780631,8.583911
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.201774,8.163029,7.6824015
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.103857,8.661912,7.8828845
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.51484,8.279332,8.397086
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.038065,8.815469,8.426767
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.516347,9.156158,8.8362525
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.418117,8.700632,8.0593745
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.307725,9.015206,8.1614655
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.431224,8.624513,8.0278685
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.205101,9.954452,9.0797765
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.348955,9.892944,9.1209495
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.289655,9.610536,8.9500955
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.314739,9.950517,9.132628
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.031622,9.484801,8.7582115
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.817218,9.688389,8.7528035
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.092742,9.422629,8.7576855
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.866983,9.397045,8.632014
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.418626,9.426456,8.422541
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.733548,10.071479,8.9025135
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.771765,8.613949,8.192857
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.015563,9.619782,9.3176725
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.289995,8.921349,8.605672
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.630979,9.946272,9.2886255
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.02835,9.970164,8.999257
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.168487,8.104873,8.13668
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.108909,8.582156,8.3455325
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.903541,8.830307,8.366924
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.495791,7.812346,7.6540685
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.974464,8.445769,8.2101165
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.115082,8.145184,8.130133
