"","sample","tissue","endometriosis","severity","p206084_at","p210675_s_at","PTPRR"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.295849,2.4465925
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.297855,2.4475955
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.295849,2.4465925
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.496845,6.131549,6.314197
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.295849,2.4465925
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.03188,6.386378,5.709129
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,3.314073,2.9563815
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.465797,2.5315665
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.251793,2.295849,2.273821
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.342134,6.56683,6.454482
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.295849,2.4465925
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,2.297855,2.266961
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.632054,5.851381,5.2417175
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,2.297855,2.266961
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.431043,2.340414,2.3857285
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.168917,7.154945,7.161931
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.628514,5.27768,4.953097
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.721502,5.277596,3.999549
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.129763,7.03408,7.0819215
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.647991,7.309087,7.478539
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.269287,2.4333115
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.09883,6.564583,6.8317065
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.907787,2.297855,2.602821
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.820996,4.941173,5.8810845
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.056267,4.42769,4.7419785
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.637171,2.295849,2.46651
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.59869,2.285299,2.4419945
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597336,2.285299,2.4413175
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.986559,2.312597,2.649578
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.59869,2.285299,2.4419945
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.59869,2.380261,2.4894755
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.28669,2.442013
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.59869,2.295849,2.4472695
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.295849,2.4465925
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.416739,3.17744,3.2970895
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.256511,6.153612,6.7050615
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.295849,2.4465925
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.59869,2.542526,2.570608
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.597336,2.295849,2.4465925
