"","sample","tissue","endometriosis","severity","p202724_s_at","p202723_s_at","FOXO1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.110114,7.001255,8.5556845
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.078698,5.741199,7.4099485
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.101594,6.989578,9.045586
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.007032,8.198514,10.102773
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.257143,4.193369,6.725256
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.173324,8.20478,10.189052
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.931107,6.877506,9.4043065
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.02455,6.882414,8.953482
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.369534,4.137224,6.753379
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.673612,8.290613,10.4821125
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.483805,4.441684,6.9627445
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.358282,5.687056,8.022669
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.335573,9.550351,10.942962
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.915079,3.723701,6.81939
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.652723,3.723701,6.688212
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.483469,7.011871,9.74767
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.139715,6.975305,10.05751
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.149437,8.634004,10.8917205
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.840072,7.75839,9.799231
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.460554,11.123102,10.791828
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.141517,8.734879,8.438198
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.569338,11.595952,11.082645
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.962502,11.331556,10.647029
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.725131,11.778515,11.251823
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.290123,10.938082,10.1141025
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.930493,10.011707,9.4711
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.44487,7.011871,6.7283705
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.925458,8.436083,8.1807705
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.500049,10.758971,10.12951
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.316773,8.871836,8.0943045
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.667183,9.236462,8.4518225
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.326508,9.098082,8.712295
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.278691,7.719997,6.999344
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.288549,8.0241,7.6563245
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.117425,10.712512,10.9149685
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.077055,11.529394,11.3032245
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.288549,7.910013,7.599281
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.303994,11.62323,11.463612
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.764275,7.691787,7.728031
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.066962,10.543507,9.8052345
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.624777,9.549774,9.0872755
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.146709,11.33232,10.7395145
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.848779,8.954744,8.9017615
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.272561,12.11528,11.6939205
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.596753,11.85785,11.2273015
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.486845,7.479307,7.483076
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.288549,8.285814,7.7871815
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.987501,11.085341,10.536421
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.244714,11.502303,10.8735085
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.824382,8.492182,8.158282
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.288549,8.51845,7.9034995
