"","sample","tissue","endometriosis","severity","p204682_at","p223690_at","LTBP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.177789,5.144948,4.1613685
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.083206,4.925396,4.504301
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.622267,9.105449,8.863858
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.80127,5.679277,4.7402735
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.640774,6.428047,6.5344105
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.993414,4.936415,3.9649145
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.829576,4.104159,3.4668675
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.38597,7.759925,8.0729475
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.769462,6.574548,7.172005
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.296846,5.75784,4.527343
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.461145,7.026736,7.2439405
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.98261,7.829049,7.9058295
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.760455,5.067838,4.4141465
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.611529,9.284467,9.447998
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.254472,6.84194,7.048206
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.363355,5.717946,4.5406505
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.561068,5.3032,4.432134
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.989202,4.288213,4.1387075
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.201957,5.679277,4.440617
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.911765,5.467425,6.189595
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.738259,5.928289,6.833274
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.658857,5.747629,6.703243
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.298119,8.669772,9.4839455
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.831094,4.976304,6.403699
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.689982,6.759077,7.7245295
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.522793,4.594586,6.0586895
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.203431,6.312376,7.7579035
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.258969,7.587666,8.4233175
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.288517,4.931374,6.1099455
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.097425,7.531957,8.814691
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.947952,6.362972,7.155462
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.80526,8.922958,9.864109
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.919755,5.55823,7.2389925
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.707474,6.679028,8.193251
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.929452,5.188951,5.5592015
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.744784,5.679277,6.7120305
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.388035,7.649157,8.518596
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.682242,6.609445,7.1458435
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.738077,7.745311,8.741694
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.075343,4.925396,6.0003695
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.15955,7.045366,7.602458
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.295461,11.534293,11.914877
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.63101,5.679277,7.1551435
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.520477,5.8425,6.6814885
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.031211,6.112322,7.0717665
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.503816,6.769326,8.136571
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.078709,5.679277,7.378993
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.375199,8.955805,9.665502
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.075081,5.442043,5.758562
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.726867,4.88007,5.8034685
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.169214,3.935158,6.052186
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.663114,5.551896,6.607505
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.124498,7.567903,8.8462005
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.113909,6.648109,7.881009
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.714015,7.287261,8.500638
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.789208,6.367414,7.078311
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.846708,6.528915,7.6878115
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.782596,5.239402,6.010999
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.88464,5.160457,5.5225485
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.791262,5.634633,6.7129475
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.017004,5.328526,6.172765
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.295916,6.897929,7.0969225
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.874996,4.940947,4.9079715
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.649619,10.900568,10.7750935
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.631614,5.773484,5.702549
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.5463,7.721158,8.633729
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.021979,8.215146,9.1185625
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.921582,8.491327,8.7064545
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.440068,6.971242,7.205655
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.933971,7.544085,7.739028
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.424218,9.633366,9.528792
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.016075,5.471082,5.2435785
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.536325,7.005212,7.2707685
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.123179,8.439191,8.781185
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.190356,7.1215,7.155928
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.679851,5.176158,4.9280045
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.714137,7.101607,7.407872
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.100245,4.526644,5.3134445
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.22627,9.034435,9.1303525
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.868002,4.552338,4.21017
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.084975,7.664876,7.8749255
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.072961,7.591954,7.8324575
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.967355,6.21797,7.0926625
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.436435,5.496273,5.966354
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.30328,8.310309,8.8067945
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.194657,4.975108,5.0848825
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.231801,6.22937,7.7305855
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.618964,6.287754,7.453359
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.049226,9.183383,10.1163045
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.713317,8.015178,9.3642475
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.615966,5.737406,6.176686
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.504915,7.001027,8.252971
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.247294,11.248022,11.747658
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.547744,5.315911,5.4318275
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.112281,4.925396,5.5188385
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.171833,10.172385,10.672109
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.44838,6.379081,6.9137305
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.401618,6.148962,6.77529
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.526582,5.319609,5.9230955
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.31546,5.552052,6.933756
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.151202,8.013137,8.5821695
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.396454,8.471016,8.933735
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.93053,6.028049,6.9792895
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.665927,6.129621,7.897774
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.700739,4.273696,4.4872175
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.03689,4.913803,5.4753465
