"","sample","tissue","endometriosis","severity","p206284_x_at","p205172_x_at","p211043_s_at","CLTB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.940135,8.072242,7.897052,7.96980966666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.058075,7.582462,7.280568,7.307035
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.620455,7.987787,6.02238,7.21020733333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.298236,8.259323,7.83162,8.12972633333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.544577,7.783606,7.733326,7.68716966666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.690676,8.356639,8.245797,8.43103733333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.809683,8.291134,7.955719,8.01884533333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.314482,8.35449,8.033607,8.234193
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.333483,7.697882,7.482526,7.50463033333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.67291,8.552931,8.495177,8.57367266666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.537394,7.996565,7.635028,7.72299566666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.911523,8.070157,7.898764,7.960148
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.456017,8.057749,7.692877,7.73554766666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.120904,8.259323,8.613325,8.331184
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.56261,7.756599,7.81028,7.70982966666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.13301,8.259323,7.994309,8.12888066666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.265969,8.234986,8.666934,8.38929633333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.804607,8.200146,7.920902,7.97521833333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.282362,8.336928,7.758033,8.12577433333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.070668,9.727024,10.764196,10.187296
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.469397,9.227109,10.285802,9.66076933333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.278991,10.035283,10.636803,10.3170256666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.05597,9.8992,10.91056,10.2885766666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.996692,10.594828,11.289702,10.9604073333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.549785,10.289074,10.998903,10.6125873333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.485477,10.161175,11.058302,10.568318
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.224064,10.875437,11.8196,11.306367
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.802625,9.513567,10.230348,9.84884666666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.476518,9.101061,9.793538,9.457039
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.519952,10.223971,11.10564,10.616521
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.507626,10.306166,11.216489,10.6767603333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.046537,9.656163,10.465256,10.0559853333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.871088,10.593452,11.477722,10.980754
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.889325,10.691641,11.353673,10.978213
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.037992,8.841112,9.271048,9.05005066666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.782877,10.491472,11.159408,10.8112523333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.052003,9.745933,10.640992,10.1463093333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.266383,9.082882,10.129946,9.49307033333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.379526,10.139462,10.96658,10.4951893333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.79173,10.447902,11.288991,10.8428743333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.487239,9.237592,10.306414,9.67708166666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.226731,10.818123,11.33694,11.1272646666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.914522,9.483257,10.612626,10.0034683333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.41189,9.034997,10.222209,9.55636533333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.403133,10.253043,10.938328,10.5315013333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.386475,10.098067,11.05445,10.5129973333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.867141,10.466228,11.524261,10.9525433333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.33545,10.054905,11.0623,10.4842183333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.331791,9.910202,11.146954,10.4629823333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.937617,10.825669,11.641772,11.1350193333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.489838,10.246681,10.986338,10.5742856666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.435533,11.241115,11.903681,11.5267763333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.243652,10.176423,10.943808,10.4546276666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.585465,9.328655,9.986918,9.63367933333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.805697,9.561127,10.456749,9.941191
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.256801,8.175434,9.056963,8.49639933333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.486544,10.240545,11.040051,10.5890466666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.050564,9.639365,10.533793,10.074574
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.125132,8.854378,9.580351,9.18662033333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.694219,9.266085,10.432788,9.79769733333333
