"","sample","tissue","endometriosis","severity","p1558693_s_at","p225401_at","GLMP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.042134,6.497248,6.269691
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.507812,6.391325,5.9495685
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.060995,7.207373,6.634184
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.521031,6.446134,6.4835825
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.30188,7.262203,6.7820415
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.333637,7.177606,6.7556215
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.253455,5.8898,6.0716275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.184504,7.266781,7.2256425
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.583628,7.305279,6.9444535
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.856729,7.206761,7.031745
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.992203,6.607766,6.2999845
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.668745,7.466277,7.067511
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.899058,5.270993,5.0850255
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.382221,7.555212,6.9687165
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.449775,6.542235,5.996005
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.528844,7.364706,6.946775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.356913,7.077497,6.717205
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.137634,6.663242,6.400438
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.837598,6.523754,6.180676
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.438757,9.932099,9.685428
