"","sample","tissue","endometriosis","severity","p220943_s_at","p223560_s_at","p230379_x_at","NDUFAF7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.382347,5.573601,6.952223,5.96939033333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.931548,6.323199,6.056537,5.43709466666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.028845,5.759838,6.492831,5.42717133333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.931548,5.398773,6.357776,5.22936566666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.034245,5.573601,6.586376,5.398074
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.931548,5.848863,6.395964,5.392125
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.91976,5.573601,6.085746,5.19303566666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.931548,5.627012,6.178824,5.24579466666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.632156,6.280814,6.925923,5.94629766666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.964292,6.65524,6.348385,5.65597233333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.678572,5.573601,6.972592,5.74158833333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.565486,5.573601,7.19491,5.777999
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.91976,5.620744,6.118225,5.21957633333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.286999,5.786099,6.951437,5.674845
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.752224,6.122993,6.8484,5.90787233333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.978842,6.213317,6.719793,5.97065066666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.219764,5.838059,6.758929,5.605584
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.695315,5.573601,7.061332,5.77674933333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.447239,5.894518,7.841825,6.39452733333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.635782,4.330162,4.811939,3.925961
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.803986,3.968113,5.254629,4.34224266666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.40292,4.595968,4.311274,4.10338733333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.635782,5.573601,5.299089,4.502824
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.999594,4.91229,4.869088,4.260324
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.635782,3.697028,4.532699,3.62183633333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.871739,2.529235,4.104398,3.16845733333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.429393,4.11925,6.226233,4.59162533333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.871739,4.630703,4.840381,4.11427433333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.871739,3.902752,4.158398,3.64429633333333
