"","sample","tissue","endometriosis","severity","p203041_s_at","p226671_at","LAMP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.171948,6.688938,8.430443
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.508541,5.885202,8.1968715
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.394467,5.144933,7.2697
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.843488,7.488815,9.1661515
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.600343,6.889456,8.7448995
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.832132,6.905889,8.8690105
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.394426,4.018529,7.2064775
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.187512,6.166168,8.17684
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.880968,7.331417,9.1061925
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.442571,6.722157,9.082364
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.221119,5.826995,8.024057
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.1351,6.818883,8.4769915
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.758373,5.720643,7.739508
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.22789,5.979914,8.103902
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.819663,7.462645,9.141154
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.243726,7.742768,9.493247
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.373245,7.603738,9.4884915
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.473505,7.469996,8.9717505
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.45631,7.080674,8.768492
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.326884,7.294627,8.8107555
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.159855,6.975376,8.5676155
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.06696,5.982388,8.024674
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.702247,6.920953,8.3116
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.622202,6.249193,7.9356975
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.617594,6.200373,7.9089835
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.81588,6.507567,7.6617235
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.474186,4.364532,6.419359
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.664108,6.826293,8.2452005
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.367373,7.973554,9.1704635
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.844894,3.91284,6.378867
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.039266,4.769864,6.404565
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.063342,5.957673,7.5105075
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.827085,4.105756,5.9664205
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.368853,3.718381,6.043617
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.971061,9.063537,10.017299
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.89991,7.052829,8.9763695
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.565265,6.411392,7.4883285
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.415686,8.360921,9.8883035
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.976648,5.632713,7.3046805
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.08018,6.605419,7.8427995
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.62498,6.672568,8.148774
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.001713,6.111274,8.0564935
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.514751,6.739384,8.1270675
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.93303,8.389472,9.661251
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.056196,6.04904,8.052618
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.169744,5.990811,7.5802775
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.378103,4.906851,6.642477
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.862674,6.84666,8.354667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.835118,6.285345,8.5602315
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.664076,4.415446,6.539761
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.96514,4.710015,6.8375775
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.752311,5.01414,7.3832255
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.46991,7.445958,8.457934
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.65836,6.756513,8.2074365
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.722927,6.90236,8.3126435
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.008486,8.440549,9.7245175
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.810038,7.679628,8.744833
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.746004,7.744027,9.2450155
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.929408,8.625003,9.7772055
