"","sample","tissue","endometriosis","severity","p218318_s_at","p222590_s_at","p222589_at","NLK"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.992761,4.82382,9.191422,7.00266766666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.419245,4.616555,7.761621,5.93247366666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.802097,2.980553,7.146817,4.64315566666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.287193,3.375561,6.566846,4.7432
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.938995,3.954931,6.923777,5.605901
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.264165,3.500698,8.179653,5.648172
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.427751,4.098604,5.108997,4.54511733333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.513647,3.069119,7.556978,5.04658133333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.158687,4.039036,8.400746,5.86615633333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.327905,3.795926,7.083839,5.40255666666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.001848,4.51597,8.054676,6.19083133333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.544482,3.690201,7.511286,5.24865633333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.314331,3.773262,7.1738,5.42046433333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.666057,3.328407,8.040276,5.34491333333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.334304,4.503457,8.0146,5.950787
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.121314,3.981628,7.37039,5.49111066666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.613054,3.639547,7.271683,5.17476133333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.847458,5.098631,7.839163,6.26175066666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.343648,5.185054,8.090072,6.206258
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.878674,2.980553,6.586084,4.48177033333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.271306,2.980553,7.350857,4.867572
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.433577,3.599815,6.794344,4.94257866666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91227,3.322257,6.276322,5.170283
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.430496,3.136833,5.973368,4.18023233333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.324902,3.07051,4.750019,3.71514366666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.596725,3.969004,7.368149,4.97795933333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.172692,2.958189,5.340829,4.15723666666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.699468,3.040874,6.861488,4.53394333333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.90977,2.980553,7.024685,4.638336
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.324902,3.149964,5.029002,3.83462266666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.711288,2.958189,5.480392,3.716623
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.392197,2.980553,6.370635,4.247795
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,2.980553,4.252485,3.15636833333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.324902,2.980553,4.410365,3.57194
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.845311,6.401966,9.745246,7.99750766666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.314331,3.167252,6.295808,4.925797
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.953067,2.87586,6.279822,4.369583
