"","sample","tissue","endometriosis","severity","p212455_at","p228556_at","YTHDC1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.572516,5.39629,8.484403
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.904348,6.116725,8.5105365
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.361749,5.102524,7.7321365
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.382401,6.26122,8.8218105
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.958512,4.870214,7.914363
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.32733,6.209182,8.768256
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.590155,5.845776,8.2179655
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.627129,6.091832,8.8594805
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.436989,5.546379,8.491684
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.913027,5.447554,8.1802905
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.155358,5.868463,8.5119105
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.276624,5.89144,8.584032
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.954038,6.308313,8.6311755
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.122431,5.577293,8.349862
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.349227,4.847475,8.098351
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.438203,5.148055,8.293129
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.7035,5.439819,8.5716595
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.178336,5.971677,8.5750065
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.17673,5.592731,8.3847305
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.460506,7.024901,8.7427035
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.160711,6.65709,8.4089005
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.359996,6.547738,7.953867
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.328524,7.029436,8.17898
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.865349,6.220481,8.042915
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.564555,6.687578,8.1260665
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.059178,7.013234,8.036206
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.622883,7.280191,7.951537
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.75405,6.341976,8.548013
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.062268,6.922498,8.492383
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.072498,6.429697,7.7510975
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.036061,7.079215,8.557638
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.147044,6.26122,8.204132
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.201494,6.842893,7.5221935
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.726944,6.144968,7.435956
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.539831,5.430078,8.4849545
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.776661,6.299925,8.038293
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.634436,7.282228,8.458332
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.912512,6.603584,8.758048
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.969385,7.067588,8.5184865
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.356832,7.265862,8.311347
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.18142,7.368401,8.7749105
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.490107,5.64129,7.5656985
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.616243,7.4866,8.5514215
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.475838,6.846572,8.661205
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.565624,6.480914,8.023269
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.37635,7.116848,8.746599
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.12482,6.26122,7.69302
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.796841,7.142877,8.469859
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.498054,6.731715,8.1148845
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.649941,7.122108,7.8860245
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.378845,7.237556,8.3082005
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.321646,6.124215,7.7229305
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.05389,5.974057,8.0139735
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.026237,6.180874,8.1035555
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.91826,6.26122,8.58974
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.389002,7.418377,9.4036895
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.4449,6.958387,8.7016435
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.921884,6.778346,8.850115
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.430093,5.518873,8.474483
