"","sample","tissue","endometriosis","severity","p204381_at","p228525_at","LRP3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.216348,4.627198,5.421773
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.454148,4.627198,5.540673
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.216348,4.416259,5.3163035
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.156063,4.655401,4.905732
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.029404,4.592127,5.8107655
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.506317,4.627198,5.0667575
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.717957,4.627198,4.6725775
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.121501,4.615021,5.868261
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.127935,4.592127,5.860031
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.265004,4.592127,4.9285655
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.338555,4.615021,5.476788
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.845715,4.615021,5.230368
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.332757,4.801575,5.067166
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.307558,4.592127,5.9498425
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.257335,4.656757,5.957046
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.951112,4.592127,5.2716195
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.768651,4.592127,5.180389
