"","sample","tissue","endometriosis","severity","p202701_at","p205574_x_at","p207595_s_at","BMP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.795963,6.86282,5.397277,6.68535333333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.246143,6.701869,6.486281,6.811431
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.458557,7.986753,6.526657,7.99065566666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.167185,6.711996,6.357893,7.07902466666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.81339,8.562917,7.058761,8.14502266666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.231089,7.315996,6.323013,7.29003266666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.368997,6.517531,5.751781,6.546103
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.760588,8.537425,6.861283,8.05309866666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.439985,6.785533,6.233717,7.15307833333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.796035,7.475578,6.397206,7.22293966666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.981741,8.133609,6.701913,7.93908766666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.847596,7.919663,6.526657,7.76463866666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.8429,6.91537,5.044854,6.60104133333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.22877,8.630781,7.103589,8.32104666666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.91932,7.210857,5.696764,6.94231366666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.298802,6.9571,6.292336,7.182746
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.142297,7.093747,5.777634,7.00455933333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.111439,6.601356,6.130869,6.61455466666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.0039,7.815559,6.045347,7.28826866666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.28453,8.537512,6.86527,7.89577066666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.175786,7.666802,6.046844,7.29647733333333
