"","sample","tissue","endometriosis","severity","p221710_x_at","p220134_x_at","EVA1B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.804901,7.107224,7.4560625
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.794858,7.726324,7.760591
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.622621,7.860465,7.741543
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.645487,7.326836,7.4861615
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.940837,7.017259,7.479048
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.153581,7.128708,7.6411445
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.568713,5.965174,6.7669435
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.94223,8.382809,8.6625195
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.694627,8.369967,8.532297
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.954014,6.498566,7.22629
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.26858,6.599554,6.934067
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.713386,7.516891,8.1151385
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.714576,6.115086,5.914831
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.633867,7.728989,8.181428
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.48601,7.68755,8.08678
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.588535,7.370618,7.4795765
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.839478,6.762578,7.301028
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.517313,6.711984,7.1146485
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.214566,6.238241,6.7264035
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.526043,9.631875,10.078959
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.706068,9.711914,10.208991
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.778366,9.801538,10.289952
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.758176,10.861905,11.3100405
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.377059,10.336638,10.8568485
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.690243,9.81639,10.2533165
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.335267,10.407937,10.871602
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.826582,11.752615,12.2895985
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.463804,9.40855,9.936177
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.227217,9.540752,9.8839845
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.329267,11.384228,11.8567475
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.333137,10.433455,10.883296
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.936625,10.009372,10.4729985
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.958711,11.946336,12.4525235
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.736651,11.804471,12.270561
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.562222,8.642655,9.1024385
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.271709,10.479194,10.8754515
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.772126,10.881932,11.327029
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.28805,9.264379,9.7762145
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.589928,10.705621,11.1477745
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.530472,10.58938,11.059926
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.890832,10.038368,10.4646
