"","sample","tissue","endometriosis","severity","p203717_at","p203716_s_at","p211478_s_at","DPP4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.137668,2.653296,2.268411,3.01979166666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.182335,2.653296,2.268411,2.70134733333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.59059,3.346151,2.344473,3.42707133333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.680443,9.463206,9.458114,9.533921
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.204676,2.653296,2.236067,2.698013
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.294594,11.690276,11.662065,11.5489783333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.947228,9.551253,9.251776,9.583419
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.350901,3.233602,2.824605,3.46970266666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.036223,2.694997,3.018888,3.250036
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.639744,10.827293,10.913912,10.7936496666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.896934,2.661276,3.125762,3.561324
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.735419,3.51114,5.054243,5.10026733333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.890046,7.072078,6.374394,7.445506
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.891918,2.661276,2.281018,3.27807066666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.036223,2.653296,2.236067,2.97519533333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.251811,7.333038,8.096688,7.89384566666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.608805,8.392275,9.257144,9.08607466666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.464685,10.534591,11.049105,10.6827936666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.769653,8.840692,9.656864,9.422403
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.611233,6.80654,7.072171,7.82998133333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.997732,2.653296,2.236067,2.962365
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.077799,8.042037,8.826631,8.98215566666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.954504,3.813407,2.268411,4.34544066666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.75745,5.780503,6.171542,6.56983166666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.331623,6.385713,6.438244,7.05186
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.027458,2.653296,2.268411,3.31638833333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.036223,2.762374,2.268411,3.022336
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.099294,2.653296,2.236067,2.996219
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.065685,2.661276,2.236067,2.987676
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.036223,2.653296,2.245484,2.97833433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.896934,4.087291,2.268411,3.75087866666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.350901,2.653296,2.268411,3.09086933333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.036223,2.653296,2.236067,2.97519533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.896934,2.653296,2.236067,3.262099
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.260334,2.653296,2.236067,3.049899
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.067543,8.875901,9.207468,9.38363733333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.066983,2.653296,2.236067,3.318782
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.764502,2.653296,2.236067,3.217955
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.350901,2.653296,2.236067,3.080088
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.62507,4.426241,2.387688,4.81299966666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.857028,2.653296,2.236067,2.91546366666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.264809,4.158314,2.440325,3.95448266666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.641786,2.661276,2.236067,3.17970966666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.502985,5.366339,6.486013,6.78511233333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.611684,6.722275,6.910138,7.414699
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.612907,2.653296,2.268411,3.17820466666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.036223,2.653296,2.268411,2.98597666666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.445325,4.64588,2.303134,4.798113
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.630246,2.653296,2.236067,3.173203
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.861244,2.661276,2.236067,2.919529
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.036223,2.661276,2.236067,2.97785533333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.1361,6.156162,7.661066,7.65110933333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.557884,2.670009,2.268618,3.83217033333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.395741,2.653296,2.236067,3.09503466666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.892619,2.656981,2.268411,2.939337
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.795607,2.625615,2.268411,3.22987766666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.679211,2.653296,2.236067,2.85619133333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.62845,9.365656,10.232259,10.075455
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.148011,8.833648,9.385015,9.455558
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.440004,2.653296,2.236067,2.77645566666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.756149,2.653854,2.24009,2.88336433333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.22887,9.269064,9.439309,9.64574766666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.577241,8.846661,9.480046,9.63464933333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.698905,5.931293,5.785555,6.805251
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.036223,2.653296,2.236067,2.97519533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.036223,2.653296,2.236067,2.97519533333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.896934,2.687184,2.236067,3.273395
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.76867,2.653296,2.268411,3.23012566666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.80393,2.711482,3.155837,3.89041633333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.244025,2.653296,2.255787,3.051036
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.251162,5.866884,5.790942,6.302996
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.896934,2.730131,2.268411,3.298492
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.648226,2.653296,2.268411,2.85664433333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.036223,2.926331,2.266311,3.07628833333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.618816,2.691791,2.268411,3.193006
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.896934,2.653296,2.319132,3.28978733333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.860532,3.017736,2.64136,3.839876
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.856852,8.742873,9.323464,9.30772966666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.43924,4.190437,4.989308,5.20632833333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.198251,2.653296,2.236067,3.02920466666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.027846,2.653296,2.281737,3.32095966666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.896934,2.671773,3.071969,3.546892
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.264933,7.283269,7.178458,7.90888666666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.720788,3.0421,3.378426,4.04710466666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.036223,2.653296,2.268411,2.98597666666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.827945,8.244611,8.510145,8.86090033333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.676858,2.661276,2.236067,2.858067
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.84951,8.374303,8.663761,8.96252466666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.036223,2.653296,2.236067,2.97519533333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.036223,2.653296,2.236067,2.97519533333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.086818,2.625615,2.268411,2.66028133333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.684585,2.625615,2.236067,3.182089
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.758561,2.876708,2.268618,3.634629
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.932818,4.10987,3.542794,4.86182733333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.089438,2.70789,2.268411,3.35524633333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.942606,2.661276,2.268618,3.29083333333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.190694,7.720066,8.087391,8.66605033333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.207491,7.467011,8.037978,8.57082666666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.350901,2.653296,2.236067,3.080088
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.036223,2.673829,2.236067,2.98203966666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.406695,2.653296,2.236067,2.76535266666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.998319,2.639407,2.236168,2.95796466666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.394254,8.172866,8.592562,9.05322733333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.448188,2.661276,2.241273,2.783579
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.993181,2.655617,2.236067,3.294955
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.161795,6.805687,7.75349,7.90699066666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.173366,2.661276,2.236067,3.02356966666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.741651,2.625615,2.268411,3.21189233333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.868171,2.653296,2.236067,3.25251133333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.508482,2.653296,2.268411,3.14339633333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.906008,2.653296,2.236067,3.26512366666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.930317,2.653296,2.241906,2.94183966666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.220914,2.653296,2.236067,2.70342566666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.379422,11.628007,12.175756,11.7277283333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.145459,5.500081,6.530225,6.39192166666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.257086,8.466446,8.700102,8.807878
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.80059,9.663169,10.178024,9.88059433333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.036223,2.653296,2.276826,2.98878166666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.896934,2.972982,2.268411,3.37944233333333
