"","sample","tissue","endometriosis","severity","p222680_s_at","p218585_s_at","DTL"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.632709,7.001869,5.317289
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.719975,8.401974,7.0609745
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.402461,7.082841,5.242651
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.585539,3.47294,3.0292395
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.32249,9.14772,8.235105
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.059229,4.629831,3.84453
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.634925,5.708533,4.171729
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.832234,7.760208,5.296221
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.554843,8.811281,7.183062
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.010872,6.790311,4.9005915
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.405042,7.380939,5.8929905
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.262161,7.467205,5.864683
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.707358,4.359993,3.5336755
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.256362,9.362403,7.8093825
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.774821,9.6381,7.7064605
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.31015,5.218976,3.764563
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.357819,5.344762,3.8512905
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.705737,5.496448,4.1010925
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.1547,5.805926,4.480313
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.304004,5.809795,4.0568995
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.44079,8.306171,6.8734805
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.597185,6.336028,4.4666065
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.317896,5.708533,4.0132145
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.724393,5.692401,4.208397
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.31015,5.257134,3.783642
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.317896,3.719087,3.0184915
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.11429,6.086107,4.6001985
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.082309,7.599016,5.8406625
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.340042,5.041308,3.690675
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.317896,5.51328,3.915588
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.600634,6.147329,4.3739815
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.66412,7.729763,5.6969415
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.317896,3.916188,3.117042
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.705737,7.000196,4.8529665
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.585539,6.415556,4.5005475
