"","sample","tissue","endometriosis","severity","p48580_at","p218058_at","CXXC1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.230367,7.695338,7.9628525
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.390591,7.851612,8.1211015
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.048305,6.828857,6.938581
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.551971,7.692505,8.122238
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.280645,7.822575,8.05161
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.105885,7.995439,8.050662
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.564083,6.959372,7.2617275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.711418,8.36447,8.537944
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.685822,8.160175,8.4229985
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.525825,7.167907,7.346866
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.076381,7.37506,7.7257205
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.005064,7.755863,7.8804635
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.853363,6.722392,7.2878775
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.642936,8.101346,8.372141
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.527018,7.7762,8.151609
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.904627,7.57044,7.7375335
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.110992,7.025568,7.56828
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.581243,7.303053,7.442148
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.428391,7.074192,7.2512915
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.762019,8.397384,8.5797015
