"","sample","tissue","endometriosis","severity","p221449_s_at","p227191_at","ITFG1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.454484,5.297463,6.8759735
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.022792,3.617118,6.319955
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.996428,3.744916,5.870672
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.789615,3.701052,6.2453335
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.940231,4.182046,6.5611385
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.044449,3.766387,6.405418
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.421855,2.236067,4.828961
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.658765,4.133344,6.8960545
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.06458,4.599112,6.831846
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.896836,4.19378,6.545308
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.700325,4.631643,6.665984
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.735561,5.054815,6.895188
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.770153,3.617118,5.1936355
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.859671,5.948236,7.4039535
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.060697,4.885655,6.973176
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.14328,5.13027,7.136775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.158699,5.059515,7.109107
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.134218,5.394649,7.2644335
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.346513,4.129666,6.2380895
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.081576,3.385911,5.7337435
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.754631,3.912769,5.8337
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.541873,3.732761,5.637317
