"","sample","tissue","endometriosis","severity","p210817_s_at","p238560_at","CALCOCO2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.772348,7.272168,8.522258
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.609948,6.681318,8.145633
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.709943,5.193335,6.951639
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.562176,6.3114,7.936788
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.858498,6.556527,8.2075125
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.704018,5.941746,7.822882
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.452926,5.490441,7.4716835
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.640024,6.092417,7.8662205
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.565951,8.159014,8.8624825
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.831583,5.193335,7.512459
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.555803,5.290825,7.423314
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.534005,6.313876,7.9239405
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.082813,7.557307,8.32006
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.842936,6.358275,8.1006055
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.894931,7.310837,8.602884
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.763676,7.469501,8.6165885
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.19244,7.121062,8.656751
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.877358,5.680988,7.779173
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.883175,6.690634,8.2869045
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.536231,5.514289,7.02526
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.97808,5.785417,7.3817485
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.465083,5.69464,7.0798615
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.225416,5.252415,6.7389155
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.695072,5.5799,7.137486
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.487812,5.789143,6.6384775
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.379201,7.334304,6.8567525
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.534392,5.290825,5.9126085
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.817277,5.390928,7.1041025
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.427186,7.142736,7.284961
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.038455,7.379909,7.209182
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.18592,5.109648,6.647784
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.060203,5.290825,6.675514
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.388927,5.290825,5.839876
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.778185,5.946374,6.3622795
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.443839,5.403827,7.423833
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.334407,5.290825,6.812616
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.49329,5.454107,6.4736985
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.759833,6.865113,8.312473
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.504478,5.402386,6.453432
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.527794,5.320826,6.42431
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.16839,6.281497,7.2249435
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.66587,5.193335,6.4296025
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.666323,5.98466,6.8254915
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.786213,6.313984,8.0500985
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.011896,5.502164,6.75703
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.072012,5.659392,6.865702
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.184079,5.290825,5.737452
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.015834,5.063005,6.0394195
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.188755,6.944864,7.5668095
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.199599,6.397898,6.2987485
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.473374,5.842326,6.65785
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.898685,5.290825,6.594755
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.303641,5.525034,6.4143375
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.40819,5.442092,6.425141
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.609057,6.337472,7.4732645
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.500639,6.02602,7.7633295
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.656137,5.528632,7.0923845
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.674697,5.457076,7.5658865
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.286136,6.415124,8.35063
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.420178,6.658476,8.039327
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.676043,6.276546,7.4762945
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.222866,5.632015,7.9274405
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.505331,6.44656,7.9759455
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.969197,5.660571,7.314884
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.134368,6.629603,8.3819855
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.998445,6.616431,7.807438
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.346593,5.290825,7.318709
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.480505,4.968753,7.224629
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.244403,4.666157,6.95528
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.45238,5.193335,7.3228575
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.683188,4.02008,6.851634
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.196772,5.290825,7.7437985
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.150705,6.002557,8.076631
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.83045,5.193335,7.5118925
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.921936,5.202184,7.56206
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.433192,5.290825,7.8620085
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.646154,3.887519,6.7668365
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.008747,5.193335,7.601041
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.92298,4.221657,7.0723185
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.176237,6.403272,8.2897545
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.836999,3.897526,6.8672625
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.710795,4.590824,7.1508095
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.49996,5.394088,7.447024
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.058477,5.891972,7.9752245
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.593338,5.290825,7.4420815
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.662736,5.308854,6.985795
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.176794,5.290825,6.7338095
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.6932,5.460129,7.0766645
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.878184,5.290825,7.0845045
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.278548,5.609179,6.9438635
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.751314,6.292457,8.0218855
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.704763,5.964772,6.3347675
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.207469,5.290825,6.749147
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.647052,6.366883,8.0069675
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.739094,6.946853,7.8429735
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.801374,5.72107,7.261222
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.230684,6.475338,7.853011
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.594554,6.658416,7.626485
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.741096,7.006006,7.373551
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.454388,5.841227,6.6478075
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.127574,6.127111,7.6273425
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.955746,5.451444,7.203595
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.450317,6.770209,8.110263
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.83027,5.290825,6.5605475
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.971861,6.156263,7.564062
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.507841,6.678259,8.09305
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.152488,6.589569,7.8710285
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.423149,5.754669,6.588909
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.872512,5.946367,7.4094395
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.858651,5.699291,7.278971
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.407617,5.290825,6.849221
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.989209,7.310877,8.150043
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.466041,6.927687,8.196864
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.335334,6.645355,7.9903445
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.966766,6.778872,8.372819
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.075263,7.588471,8.831867
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.19264,6.463807,8.3282235
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.880488,6.182562,8.031525
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.418543,6.136141,7.777342
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.42705,6.494549,7.9607995
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.961567,7.449859,8.705713
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.612746,7.774637,9.1936915
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.078428,6.796136,8.437282
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.189718,7.40368,8.796699
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.597479,6.009891,7.803685
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.062381,7.172956,8.6176685
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.545661,6.10754,7.8266005
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.906289,6.662242,8.2842655
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.127949,6.359918,8.2439335
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.728561,7.508612,8.6185865
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.347126,6.068925,7.7080255
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.87017,5.193335,7.5317525
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.677152,6.430937,8.0540445
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.519635,5.707955,7.613795
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.731882,7.239622,8.485752
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.694295,5.966379,7.830337
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.126033,7.340271,8.733152
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.671379,6.303847,7.987613
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.937878,5.193335,7.5656065
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.143379,7.142827,8.643103
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.451845,5.38892,7.4203825
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.51903,6.234297,7.8766635
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.531436,5.776348,7.653892
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.496109,6.199315,7.847712
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.949214,6.044045,7.9966295
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.664053,5.339973,7.502013
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.441443,5.250137,7.34579
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.29988,5.541823,7.4208515
