"","sample","tissue","endometriosis","severity","p241774_at","p225724_at","PSMA3-AS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.016667,10.225238,8.1209525
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.526299,9.683381,7.60484
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.219746,9.473721,6.8467335
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.198956,9.715596,7.457276
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.682639,10.077249,7.879944
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,9.951785,7.6235
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.44677,9.404865,5.9258175
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.301135,10.134672,6.7179035
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.019273,10.015091,7.517182
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.699723,9.639841,7.169782
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,9.972627,7.633921
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,10.66403,7.9796225
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.266966,9.417845,7.3424055
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,9.796303,7.545759
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,9.954007,7.624611
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,10.177379,7.736297
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,9.679145,7.48718
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.175078,10.016388,8.095733
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.239259,9.72105,7.9801545
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.477019,7.480074,6.4785465
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,7.301123,6.298169
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.991111,5.992002,4.9915565
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.73805,6.53218,5.135115
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.181842,6.448827,5.3153345
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.204927,5.693214,4.4490705
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.761734,4.782918,4.272326
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.22956,5.074259,4.1519095
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.295215,8.457808,6.8765115
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.204927,5.724245,4.464586
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.958341,4.758348,3.8583445
