"","sample","tissue","endometriosis","severity","p200968_s_at","p200967_at","PPIB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.035357,14.567154,14.3012555
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.070026,14.090926,14.080476
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.348895,13.930689,13.639792
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.355933,14.324211,14.340072
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.644645,14.104104,13.8743745
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.378227,14.682374,14.5303005
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.694227,14.216622,13.9554245
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.001764,14.156517,14.0791405
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.30965,14.49799,14.40382
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.386915,14.738356,14.5626355
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.346883,14.635729,14.491306
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.657324,14.150505,13.9039145
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.216219,13.927483,13.571851
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.973998,14.459619,14.2168085
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.710213,14.352183,14.031198
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.502582,14.11843,13.810506
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.448177,14.178371,13.813274
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.520101,14.112161,13.816131
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.188507,14.732201,14.460354
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.376877,14.289385,13.833131
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.456617,14.325327,13.890972
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.046419,14.839518,14.4429685
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.023741,14.186903,13.605322
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.834002,14.776056,14.305029
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.106792,14.898156,14.502474
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.323479,14.975451,14.649465
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.604986,14.650453,14.1277195
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.000196,14.70846,14.354328
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.790139,14.831818,14.3109785
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.55412,15.144612,14.849366
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.166015,14.168596,13.6673055
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.977335,14.743268,14.3603015
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.517748,14.625494,14.071621
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.769157,14.745666,14.2574115
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.77987,14.655226,14.217548
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.092697,15.047947,14.570322
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.047219,14.804733,14.425976
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.371692,14.294746,13.833219
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.999553,14.809116,14.4043345
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.473569,14.63182,14.0526945
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.688756,14.654049,14.1714025
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.025166,14.816275,14.4207205
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.272966,14.488592,13.880779
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.573454,13.843079,13.2082665
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.084978,14.94239,14.513684
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.685521,14.588581,14.137051
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.870577,14.741105,14.305841
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.116904,14.318342,13.717623
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.502535,14.397766,13.9501505
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.118878,14.23915,13.679014
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.356263,14.520422,13.9383425
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.384814,14.311852,13.848333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.768771,14.59044,14.1796055
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.560447,14.64672,14.1035835
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.088221,14.81109,14.4496555
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.426665,14.291344,13.8590045
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.826223,14.752903,14.289563
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.78427,14.669497,14.2268835
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.846704,14.616618,14.231661
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.965069,13.995172,13.4801205
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.800467,14.649166,14.2248165
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.778244,14.699156,14.2387
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.803037,14.76356,14.2832985
