"","sample","tissue","endometriosis","severity","p206075_s_at","p212075_s_at","p212073_at","CSNK2A1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.783651,5.512994,5.399631,5.89875866666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.718097,7.354534,6.257772,7.11013433333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.157619,7.317271,5.189304,6.88806466666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.845176,6.829716,5.619788,6.43156
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.165621,7.130901,5.755317,7.01727966666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.460553,6.784491,5.294388,6.513144
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.697051,5.452128,4.744122,5.297767
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.930267,7.02071,5.636641,6.529206
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.011164,7.141071,5.828324,6.66018633333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.443881,7.387608,4.744122,6.858537
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.34788,7.621407,5.636171,7.20181933333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.237029,7.50539,5.57106,7.104493
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.621574,6.452194,4.744122,5.60596333333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.643113,7.063007,5.698767,7.13496233333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.336781,6.149492,5.262069,6.24944733333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.06173,6.529274,5.324765,6.63858966666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.767457,6.337619,5.240242,6.44843933333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.958475,7.195021,5.538802,6.89743266666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.165883,7.454932,5.458994,6.69326966666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.936599,5.443751,4.569331,5.31656033333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.104653,5.557637,4.597164,5.419818
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.714429,5.770845,4.330536,5.60527
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.129589,6.07717,4.698436,5.30173166666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.684795,6.111667,4.285201,5.69388766666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.995633,4.999813,4.526391,5.17394566666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.349839,5.388095,3.647571,4.461835
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.233447,4.717958,3.647571,4.19965866666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.557502,6.102775,4.744122,5.80146633333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.299922,5.376753,4.071058,4.915911
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.139606,4.999813,3.673502,4.93764033333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.170001,5.175337,3.855126,5.06682133333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.497924,5.371976,4.535104,5.46833466666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.462111,4.774336,3.647571,4.29467266666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.315494,4.840688,3.347521,4.50123433333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.847849,6.324454,6.379262,6.51718833333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.0543,6.859287,5.14274,6.352109
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.403173,4.993745,4.203564,4.533494
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.509625,5.894466,4.746821,5.71697066666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.233447,4.840688,4.668369,4.58083466666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.234423,4.840688,4.290926,4.788679
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.850973,5.07009,4.744122,5.22172833333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.676663,6.626426,3.285339,5.529476
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.454374,4.840688,3.462623,4.25256166666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.896898,5.743489,4.34971,4.996699
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.590421,5.426635,3.94193,5.319662
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.352185,4.665167,4.674951,4.564101
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.268494,4.930611,4.321024,4.840043
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.397427,4.852816,3.647571,4.63260466666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.668716,4.999813,4.142185,4.93690466666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.94227,4.840688,3.771251,4.18473633333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.233447,3.71659,3.647571,3.86586933333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.867155,4.999813,3.647571,4.83817966666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.101769,4.845822,4.029068,4.65888633333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.873918,6.005529,4.611858,5.49710166666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.531888,6.052073,4.652006,5.74532233333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.637533,5.310166,4.760559,5.236086
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.2641,4.86824,4.325308,4.819216
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.459346,6.049612,4.851956,5.78697133333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.341919,7.386277,5.218958,6.64905133333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.688311,5.039152,4.535104,5.08752233333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.388666,6.085378,4.773478,5.749174
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.1275,6.477646,4.37722,5.994122
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.605546,6.05002,4.850414,5.83532666666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.256889,6.829306,5.193116,6.09310366666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.65058,5.925437,4.967955,5.84799066666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.439774,5.858204,4.993742,5.76390666666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.659991,6.455041,4.85028,5.98843733333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.659817,7.467945,6.992424,7.37339533333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.627735,7.101924,7.081478,7.270379
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.505573,7.337683,6.50097,7.114742
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.726278,7.191505,7.158074,7.358619
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.537688,6.659493,6.073025,6.75673533333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.663278,6.925861,6.157669,6.91560266666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.718029,6.870905,6.299078,6.96267066666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.403324,7.371369,5.913459,6.89605066666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.59481,7.15328,6.213099,6.987063
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.750233,7.544937,6.634797,7.309989
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.880648,7.732199,7.121016,7.57795433333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.064148,7.256745,6.873133,7.39800866666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.30894,8.048627,7.208025,7.18853066666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.919156,7.572406,6.574724,7.35542866666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.147951,7.467091,6.928161,7.514401
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.071522,6.736095,4.750151,6.18592266666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.581332,6.223148,5.013052,5.93917733333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.606296,5.682261,4.761227,5.68326133333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.67129,5.880971,4.66841,5.74022366666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.817605,4.999813,4.672356,5.163258
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.670717,5.961942,4.537517,5.39005866666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.093754,6.488394,4.805088,6.12907866666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.275552,5.983747,4.208166,5.489155
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.269452,5.811574,4.535104,5.53871
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.983914,5.385007,4.74061,5.03651033333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.934014,5.859208,4.17076,5.32132733333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.935839,5.703511,4.999555,5.54630166666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.366317,4.999813,4.744122,5.03675066666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.89364,5.791981,4.561965,5.415862
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.199987,6.078811,4.147655,5.142151
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.073911,4.999813,4.744122,5.27261533333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.804632,6.117128,4.651803,5.19118766666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.295645,4.840688,4.203274,4.44653566666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.480029,5.520878,4.832135,5.611014
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.983706,6.462694,5.147857,6.19808566666667
