"","sample","tissue","endometriosis","severity","p201335_s_at","p233621_s_at","ARHGEF12"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.103244,2.236067,2.6696555
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.851279,2.236067,2.543673
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.169705,2.236067,2.702886
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.294248,2.236067,2.7651575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.294248,2.236067,2.7651575
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.294248,2.236067,2.7651575
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.091853,2.236067,2.66396
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.054187,2.236067,2.645127
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.294248,2.236067,2.7651575
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.061261,2.236067,2.648664
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.70466,2.236067,2.4703635
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.986185,2.236067,2.611126
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.129322,2.236067,2.6826945
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.726038,2.236067,2.4810525
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.006956,2.236067,2.6215115
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.061261,2.236067,2.648664
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.006956,2.236067,2.6215115
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.006956,2.236067,2.6215115
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.554256,2.236067,3.3951615
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.103978,2.236067,2.6700225
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.634421,2.236067,2.435244
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.614888,2.236067,2.9254775
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.709592,2.236067,2.4728295
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.061261,2.236067,2.648664
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.061261,2.236067,2.648664
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.755464,2.236067,2.4957655
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.75527,2.236067,2.9956685
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.667796,2.236067,2.4519315
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.006956,2.236067,2.6215115
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.425025,2.236067,2.830546
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.294248,2.236067,2.7651575
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.738879,2.236067,2.487473
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.006956,2.236067,2.6215115
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.061261,2.236067,2.648664
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.759433,2.236067,2.49775
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.214599,2.236067,2.725333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.456389,2.236067,3.346228
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.061261,2.236067,2.648664
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.804773,2.236067,3.02042
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.035763,2.236067,3.135915
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.294248,2.236067,2.7651575
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.061261,2.236067,2.648664
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.359026,2.236067,2.7975465
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.64503,2.236067,2.9405485
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.991946,2.236067,3.1140065
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.31713,2.236067,2.7765985
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.061261,2.236067,2.648664
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.286222,2.236067,2.7611445
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.671151,2.236067,2.953609
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.672103,2.236067,3.454085
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.105117,2.236067,3.170592
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.851502,2.236067,3.0437845
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.055433,2.236067,3.64575
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.433279,2.236067,3.334673
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.229473,2.236067,3.23277
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.798643,2.236067,3.517355
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.944426,2.236067,3.5902465
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.288335,2.236067,3.262201
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.435273,2.236067,3.33567
