"","sample","tissue","endometriosis","severity","p1554966_a_at","p204135_at","FILIP1L"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.281809,6.788016,6.5349125
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.535221,5.053004,5.2941125
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.448298,7.048774,7.248536
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.903318,5.339651,5.6214845
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.636782,6.838054,6.737418
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.940736,6.98621,6.963473
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.101817,6.960187,7.031002
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.167625,5.705668,5.9366465
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.281809,6.315995,6.298902
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.38914,7.178439,7.2837895
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.87377,5.939087,5.9064285
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.821342,5.952055,5.8866985
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.154955,6.556323,6.355639
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.232102,10.036939,10.1345205
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.058336,7.175506,7.116921
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.337712,6.699679,7.0186955
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.558938,5.564523,5.5617305
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.503694,7.83432,7.669007
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.626607,6.906685,6.766646
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.048708,5.932293,4.9905005
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.179397,4.281913,3.730655
